time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw
159079209,40.8999,-28.9911,4.84999,-2.90035,179.209,0.351578,178.066,-1309.41,48.6433,-1328.2,-1122.83,-0.312073,0.00292969,0.0299683,178.71,198.765,198.765
159121377,40.8999,-28.9911,4.84999,-3.07613,179.209,0.263688,178.242,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00537109,0.0315552,178.71,198.765,198.765
159150988,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,-0,0.00268555,0.0285645,178.71,198.765,198.765
159195494,40.8999,-28.9911,4.84999,-2.90035,179.296,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0,0.00201416,0.0307617,178.71,198.765,198.765
159213685,40.8999,-28.9911,4.86,-2.98824,179.296,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0.156036,0.00689697,0.0310059,178.7,198.765,198.765
159247426,40.8999,-28.9911,4.86,-2.98824,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.312073,0.00390625,0.0294189,178.7,198.765,198.765
159286768,40.8999,-28.9911,4.86,-2.98824,179.384,0.351578,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00592041,0.0294189,178.7,198.765,198.765
159333676,40.8999,-28.9911,4.84999,-2.98824,179.296,0.351578,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.468109,0.00445557,0.0304565,178.71,198.765,198.765
159377978,40.8999,-28.9911,4.84999,-2.98824,179.296,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0,0.00494385,0.0316162,178.71,198.765,198.765
159404136,40.8999,-28.9911,4.86,-2.90035,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00482178,0.0321655,178.7,198.765,198.765
159452123,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00341797,0.02948,178.71,198.765,198.765
159474151,40.8999,-28.9911,4.84999,-2.98824,179.209,0.351578,178.066,-1309.41,48.6433,-1328.2,-1122.83,0.312073,0.00372314,0.0317383,178.71,198.765,198.765
159518650,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0,0.0043335,0.0283813,178.71,198.765,198.765
159545276,40.8999,-28.9911,4.84999,-2.98824,179.209,0.351578,178.242,-1309.41,48.6433,-1328.2,-1122.83,-0.156036,0.00378418,0.0299683,178.71,198.765,198.765
159583049,40.8999,-28.9911,4.84999,-2.90035,179.209,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,-0.312073,0.00262451,0.0301514,178.71,198.765,198.765
159612854,40.8999,-28.9911,4.84999,-2.98824,179.384,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,-0,0.00238037,0.0300293,178.71,198.765,198.765
159660345,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00427246,0.0303955,178.71,198.765,198.765
159705563,40.8999,-28.9911,4.84999,-2.98824,179.296,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00195312,0.0293579,178.71,198.765,198.765
159754065,40.8999,-28.9911,4.84999,-2.98824,179.384,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,-0.312073,0.00762939,0.0301514,178.71,198.765,198.765
159788596,40.8999,-28.9911,4.84999,-2.98824,179.296,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00250244,0.0294189,178.71,198.765,198.765
159829192,40.8999,-28.9911,4.84999,-2.98824,179.296,0.263688,178.242,-1309.41,48.6433,-1328.2,-1122.83,0.312073,0.00366211,0.0308228,178.71,198.809,198.809
159851282,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,-0.156036,0.0022583,0.0297241,178.71,198.809,198.809
159892761,40.8999,-28.9911,4.84999,-3.07613,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,0.312073,0.00585938,0.0288696,178.71,198.809,198.809
159939126,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,0.312073,0.00268555,0.0286255,178.71,198.809,198.809
159983510,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.242,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00592041,0.0288086,178.71,198.809,198.809
160008514,40.8999,-28.9911,4.84999,-2.90035,179.296,0.351578,178.242,-1309.41,48.6433,-1328.2,-1122.83,-0,0.0045166,0.0258789,178.71,198.809,198.809
160050779,40.8999,-28.9911,4.84999,-2.98824,179.296,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.0020752,0.0294189,178.71,198.809,198.809
160095890,40.8999,-28.9911,4.84999,-2.98824,179.296,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,0.156036,0.00396729,0.0322266,178.71,198.809,198.809
160137900,40.8999,-28.9911,4.84999,-2.90035,179.209,0.263688,178.242,-1309.41,48.6433,-1328.2,-1122.83,0.312073,0.00360107,0.02948,178.71,198.809,198.809
160163202,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.066,-1309.41,48.6433,-1328.2,-1122.83,0.312073,0.00280762,0.0288696,178.71,198.809,198.809
160207602,40.8999,-28.9911,4.84999,-2.98824,179.296,0.351578,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0.156036,0.00317383,0.0305176,178.71,198.809,198.809
160241886,40.8999,-28.9911,4.84999,-3.07613,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0,0.00421143,0.0311279,178.71,198.809,198.809
160273058,40.8999,-28.9911,4.84999,-2.98824,179.209,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0,0.00354004,0.0310669,178.71,198.809,198.809
160319294,40.8999,-28.9911,4.84999,-2.98824,179.384,0.263688,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0.156036,0.00445557,0.0311279,178.71,198.809,198.809
160345660,40.8999,-28.9911,4.86,-2.98824,179.209,0.351578,178.154,-1309.41,48.6433,-1328.2,-1122.83,-0.156036,0.0045166,0.0279541,178.7,198.809,198.809
