time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw
607275956,44.4308,-106.887,41.81,30.0586,-153.545,26.9824,-152.578,-85.3805,3076.16,2972.92,-4383.69,0.312073,0.0671997,0.0112915,-41.81
607322073,44.4308,-106.887,41.81,30.0586,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0670166,0.0162354,-41.81
607362077,44.4308,-106.887,41.81,30.1465,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.468109,0.0661011,0.0150146,-41.81
607389780,44.4308,-106.887,41.81,30.0586,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,0.156036,0.0684204,0.0147705,-41.81
607436544,44.4308,-106.887,41.81,30.0586,-153.545,26.8945,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.312073,0.0672607,0.0154419,-41.81
607484487,44.4308,-106.887,41.81,30.0586,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0639648,0.0128174,-41.81
607514367,44.4308,-106.887,41.81,30.1465,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,0.156036,0.0662231,0.0148926,-41.81
607557885,44.4308,-106.887,41.81,30.0586,-153.545,27.0703,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0,0.0665894,0.0137939,-41.81
607603039,44.4308,-106.887,41.81,30.1465,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,0.312073,0.0665283,0.0150146,-41.81
607633936,44.4308,-106.887,41.81,30.1465,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.468109,0.0674438,0.0119019,-41.81
607659397,44.4308,-106.887,41.81,30.0586,-153.545,27.0703,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0681152,0.0170898,-41.81
607706668,44.4308,-106.887,41.82,30.0586,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.312073,0.0669556,0.0142212,-41.82
607758845,44.4308,-106.887,41.82,30.1465,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0,0.0683594,0.0125122,-41.82
607781716,44.4308,-106.887,41.82,30.0586,-153.545,27.0703,-152.578,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0672607,0.0164185,-41.82
607827754,44.4308,-106.887,41.82,30.0586,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0648193,0.013855,-41.82
607867266,44.4308,-106.887,41.82,30.1465,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.312073,0.065979,0.0150757,-41.82
607898312,44.4308,-106.887,41.82,30.0586,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0,0.0635986,0.0148315,-41.82
607947155,44.4308,-106.887,41.82,30.1465,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0662231,0.0137329,-41.82
608001236,44.4308,-106.887,41.82,30.0586,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,0.312073,0.0667725,0.0154419,-41.82
608024030,44.4308,-106.887,41.82,30.1465,-153.545,27.0703,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0650635,0.0158691,-41.82
608071143,44.4308,-106.887,41.82,30.0586,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0645142,0.0115356,-41.82
608122436,44.4308,-106.887,41.81,30.0586,-153.545,26.9824,-152.578,-85.3805,3076.16,2972.92,-4383.69,-0,0.0653076,0.0144043,-41.81
608151878,44.4308,-106.887,41.81,30.1465,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0691528,0.0153198,-41.81
608201065,44.4308,-106.887,41.82,30.0586,-153.545,26.9824,-152.578,-85.3805,3076.16,2972.92,-4383.69,-0,0.0652466,0.0144653,-41.82
608224771,44.4308,-106.887,41.82,30.0586,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.468109,0.0670166,0.0126953,-41.82
608266224,44.4308,-106.887,41.82,30.1465,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,0.312073,0.0647583,0.0117188,-41.82
608297884,44.4308,-106.887,41.82,30.0586,-153.545,27.0703,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.06604,0.0133057,-41.82
608342328,44.4308,-106.887,41.82,30.0586,-153.545,27.0703,-152.666,-85.3805,3076.16,2972.92,-4383.69,0.156036,0.0649414,0.0136108,-41.82
608367051,44.4308,-106.887,41.83,30.0586,-153.545,27.0703,-152.754,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0648193,0.0151978,-41.83
608406512,44.4308,-106.887,41.83,29.9707,-153.545,26.9824,-152.754,-85.3805,3076.16,2972.92,-4383.69,0.156036,0.0648193,0.0134888,-41.83
608437631,44.4308,-106.887,41.83,30.0586,-153.545,26.9824,-152.666,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0688477,0.0159302,-41.83
608471363,44.4308,-106.887,41.83,30.0586,-153.545,26.9824,-152.578,-85.3805,3076.16,2972.92,-4383.69,-0.156036,0.0686035,0.0153198,-41.83
608521294,44.4308,-106.887,41.83,33.5742,-153.457,29.6191,-149.678,-85.3805,3076.16,2972.92,-4383.69,0.312073,0.0958862,0.0259399,-41.83
608554525,44.4305,-106.944,41.85,46.2305,-138.428,41.8359,-137.109,-85.3805,3076.05,2972.94,-4383.78,-9.51822,0.0410156,-0.0818481,-41.9
608602507,44.6256,-106.61,42.11,74.9707,-108.018,72.8613,-108.896,-85.3805,3076.34,2971.95,-4383.51,-38.541,-0.438965,-0.1427,-42.3
608635946,44.8657,-106.347,42.55,87.0117,-94.3066,86.6602,-96.1523,-85.365,3076.93,2971.73,-4382.88,-23.4055,-0.0759277,0.325989,-42.55
608669367,45.3213,-105.974,42.88,91.8457,-85.166,95.625,-89.2969,-85.365,3077.69,2970.98,-4382.03,-40.4134,-0.0817261,0.0507202,-42.88
608706139,45.8525,-105.538,43.24,92.8125,-84.8145,96.2402,-88.9453,-85.3572,3078.26,2969.97,-4380.85,-35.4203,0.183044,0.214539,-43.35
608746063,46.5658,-104.922,43.78,94.3066,-86.3086,95.2734,-89.0332,-85.3338,3079.25,2968.82,-4379.2,-48.8394,0.41217,0.514893,-43.78
608778678,47.0882,-104.436,44.22,93.252,-90.1758,94.043,-89.1211,-85.3338,3080.21,2968.12,-4378,-25.1219,0.398438,0.23468,-44.35
608822956,48.203,-103.381,44.76,92.373,-91.4062,93.6914,-89.0332,-85.3105,3082.09,2965.63,-4376.21,-29.8029,0.0883179,0.0147095,-44.97
608870148,49.3435,-102.258,45.52,92.373,-91.8457,93.4277,-89.0332,-85.295,3083.88,2963.62,-4373.58,-47.5911,-0.0721436,-0.291992,-45.8
608916561,50.5573,-101.007,46.44,92.4609,-92.1973,93.3398,-89.1211,-85.3027,3086.28,2961.44,-4371.2,-56.9533,-0.349365,0.0737915,-46.72
608943065,51.5532,-99.9789,47.03,92.4609,-92.373,93.5156,-88.9453,-85.2872,3087.87,2959.09,-4369.38,-47.123,0.203857,-0.0623779,-47.03
608988063,53.0486,-98.3429,48.05,92.6367,-92.4609,93.252,-89.0332,-85.295,3090.85,2956.53,-4366.06,-65.8474,0.750183,0.0488281,-48.46
609017391,54.186,-97.0279,48.91,92.5488,-92.4609,93.3398,-88.9453,-85.3105,3094.3,2955.14,-4363.96,-92.5296,0.896301,-0.0354004,-48.91
