time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw
519185747,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,0.624146,0.0667114,0.0152588,-19.45
519214900,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,0.468109,0.0630493,0.0140991,-19.45
519260164,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0614014,0.0158081,-19.45
519279446,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0,0.0654907,0.0184937,-19.45
519322498,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0.156036,0.0641479,0.0162964,-19.45
519351232,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0.156036,0.0653076,0.0137939,-19.45
519396025,-4.61434,-101.586,19.45,22.5879,-171.914,154.775,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0.156036,0.0634766,0.0186157,-19.45
519441040,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0653687,0.0145874,-19.45
519470836,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0,0.0661621,0.013916,-19.45
519516733,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0644531,0.0154419,-19.45
519543610,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0,0.0664062,0.015625,-19.45
519584769,-4.61434,-101.586,19.45,22.5,-171.914,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,0.312073,0.0643921,0.0148926,-19.45
519633825,-4.61434,-101.586,19.45,22.5879,-171.826,154.775,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.312073,0.0634155,0.017334,-19.45
519670907,-4.61434,-101.586,19.45,22.5,-171.826,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,-0.156036,0.0657349,0.0155029,-19.45
519705964,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0674438,0.0154419,-19.45
519733735,-4.61434,-101.586,19.45,22.5879,-171.914,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,0.468109,0.0656738,0.0144653,-19.45
519774158,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0657349,0.0149536,-19.45
519821354,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,-0,0.0639038,0.0155029,-19.45
519867731,-4.61434,-101.586,19.45,22.5879,-171.914,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0640869,0.0119629,-19.45
519902190,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0653076,0.0179443,-19.45
519945452,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0,0.06427,0.0178223,-19.45
519973135,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0681152,0.017334,-19.45
520009925,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0623169,0.0137939,-19.45
520049965,-4.61434,-101.586,19.45,22.6758,-171.826,154.775,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.156036,0.0635376,0.0137329,-19.45
520075678,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.312073,0.0635986,0.0153809,-19.45
520120951,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0,0.0613403,0.0135498,-19.45
520161288,-4.61434,-101.586,19.45,22.5879,-171.826,154.688,-8.70117,-0.295515,-575.749,-669.178,-758.05,0.312073,0.065918,0.012207,-19.45
520205408,-4.61434,-101.586,19.45,22.5879,-171.914,154.775,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.468109,0.0646362,0.0140991,-19.45
520239306,-4.61434,-101.586,19.45,22.5,-171.738,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.312073,0.0665894,0.0125122,-19.45
520269994,-4.61434,-101.586,19.45,22.5879,-171.826,154.6,-8.78906,-0.295515,-575.749,-669.178,-758.05,0.312073,0.0649414,0.0162354,-19.45
520313554,-4.61434,-101.586,19.45,22.5,-171.826,154.688,-8.78906,-0.295515,-575.749,-669.178,-758.05,-0.156036,0.0635376,0.0160522,-19.45
