time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw
834485988,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0651855,0.0133057,-30.75
834531787,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.468109,0.0671387,0.0162964,-30.75
834554066,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0690308,0.0175171,-30.75
834599644,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0656128,0.0131836,-30.75
834625212,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0646973,0.0148315,-30.75
834663189,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.9336,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0637207,0.0153809,-30.75
834695094,-101.227,-7.95774,30.75,89.6484,-90.5273,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0666504,0.015564,-30.75
834741307,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.312073,0.0656128,0.0158691,-30.74
834782698,-101.227,-7.95774,30.74,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0.156036,0.0687866,0.0168457,-30.74
834814449,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.9336,-103.352,6879.68,-9.96197,-767.507,-0.156036,0.0643921,0.0132446,-30.75
834858992,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0667725,0.0142822,-30.75
834886373,-101.227,-7.95774,30.75,89.5605,-90.6152,90.2637,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0666504,0.0169067,-30.75
834933050,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0644531,0.0166016,-30.75
834952940,-101.227,-7.95774,30.75,89.4727,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.312073,0.0647583,0.0130005,-30.75
834999859,-101.227,-7.95774,30.75,89.4727,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0665894,0.0164185,-30.75
835027484,-101.227,-7.95774,30.75,89.4727,-90.6152,90.3516,-91.9336,-103.352,6879.68,-9.96197,-767.507,-0.156036,0.0661011,0.0147095,-30.75
835064931,-101.227,-7.95774,30.75,89.6484,-90.6152,90.2637,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0649414,0.0145874,-30.75
835100793,-101.227,-7.95774,30.75,89.5605,-90.6152,90.2637,-91.9336,-103.352,6879.68,-9.96197,-767.507,0.312073,0.0649414,0.0164185,-30.75
835151563,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.9336,-103.352,6879.68,-9.96197,-767.507,0.468109,0.0646973,0.0160522,-30.75
835172434,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0667114,0.0159302,-30.75
835218198,-101.227,-7.95774,30.74,89.5605,-90.6152,90.2637,-91.9336,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0656128,0.0179443,-30.74
835259785,-101.227,-7.95774,30.74,89.5605,-90.6152,90.3516,-92.0215,-103.352,6879.68,-9.96197,-767.507,-0,0.0657959,0.0147095,-30.74
835289213,-101.227,-7.95774,30.74,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0689697,0.0136719,-30.74
835323602,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.9336,-103.352,6879.68,-9.96197,-767.507,-0.156036,0.0650635,0.0141602,-30.75
835357279,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.312073,0.0653687,0.0150757,-30.75
835400028,-101.227,-7.95774,30.74,89.5605,-90.6152,90.2637,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0669556,0.017334,-30.74
835425709,-101.227,-7.95774,30.74,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.468109,0.0661011,0.0158691,-30.74
835463385,-101.227,-7.95774,30.74,89.5605,-90.5273,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0679932,0.0150146,-30.74
835495505,-101.227,-7.95774,30.74,89.5605,-90.6152,90.2637,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.06427,0.0134277,-30.74
835538606,-101.227,-7.95774,30.74,89.5605,-90.6152,90.3516,-91.9336,-103.352,6879.68,-9.96197,-767.507,-0.156036,0.0685425,0.0153198,-30.74
835564897,-101.227,-7.95774,30.74,89.4727,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.312073,0.0678711,0.0171509,-30.74
835603894,-101.227,-7.95774,30.74,89.5605,-90.5273,90.2637,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.312073,0.065918,0.0159912,-30.74
835639583,-101.227,-7.95774,30.75,89.4727,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0665283,0.0134888,-30.75
835669961,-101.227,-7.95774,30.74,89.4727,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0672607,0.0166016,-30.74
835711276,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.312073,0.0688477,0.0159302,-30.75
835742982,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0639038,0.0157471,-30.75
835781053,-101.227,-7.95774,30.75,89.6484,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0671387,0.0178223,-30.75
835814709,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.312073,0.0667725,0.0140991,-30.75
835859073,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0,0.0644531,0.0192261,-30.75
835888302,-101.227,-7.95774,30.75,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,0.156036,0.0668945,0.0147705,-30.75
835924210,-101.227,-7.95774,30.75,89.6484,-90.6152,90.3516,-91.8457,-103.352,6879.68,-9.96197,-767.507,-0.156036,0.0638428,0.0181885,-30.75
835960219,-101.227,-7.95774,30.75,89.4727,-90.6152,90.3516,-91.9336,-103.352,6879.68,-9.96197,-767.507,-0,0.0653687,0.0186157,-30.75
836012241,-101.22,-7.95369,30.76,89.5605,-90.6152,90.3516,-91.8457,-103.352,6879.71,-9.96197,-767.507,-0.312073,0.0581665,0.0174561,-30.76
836062468,-101.16,-7.91484,30.76,87.4512,-91.6699,86.9238,-92.7246,-103.352,6879.95,-10.0086,-767.499,-0.312073,0.0477905,0.078125,-30.76
836099841,-101.014,-7.769,30.73,73.125,-104.502,76.377,-104.854,-103.352,6880.19,-10.2964,-767.204,1.7164,0.02771,-0.0553589,-30.73
836152453,-100.88,-7.26981,30.64,50.8887,-134.209,48.5156,-135.088,-103.352,6881.13,-10.5452,-766.325,2.34055,-0.351074,-0.144653,-30.59
836201932,-100.964,-6.99472,30.49,22.5,-167.168,20.3906,-165.938,-103.352,6881.74,-10.553,-765.788,17.164,0.129089,0.0055542,-30.42
836235107,-101.07,-6.79382,30.26,6.24023,179.473,7.55859,-177.188,-103.352,6882.09,-10.7319,-765.415,9.83029,0.0892944,-0.173035,-30.26
836269219,-101.215,-6.58038,30.25,0.175781,172.705,-0.878906,177.275,-103.352,6882.51,-11.0274,-765.088,-2.65262,0.277344,-0.00921631,-30.25
836309973,-101.388,-6.32863,30.35,-0.351562,173.057,-2.02148,176.484,-103.352,6882.86,-11.424,-764.622,-1.87244,0.135803,-0.304199,-30.35
836361130,-101.677,-5.86555,30.39,-0.439453,179.736,-2.02148,177.363,-103.352,6883.63,-11.9995,-763.782,-2.96469,-0.00158691,-0.253784,-30.39
836401818,-102.021,-5.30817,30.36,-0.351562,180,-2.02148,177.539,-103.352,6884.7,-12.7694,-762.996,0.780182,0.0556641,-0.134216,-30.36
836437878,-102.388,-4.71683,30.34,-0.263672,-179.912,-2.02148,177.715,-103.352,6885.54,-13.7492,-762.032,0.624146,0.140198,-0.24823,-30.34
836485103,-102.887,-3.90753,30.35,-0.175781,-179.912,-2.02148,177.627,-103.352,6887.06,-14.8768,-760.881,-2.65262,0.304871,-0.163208,-30.35
836525936,-103.568,-2.81337,30.27,-0.263672,180,-2.02148,177.451,-103.36,6888.5,-16.891,-759.186,5.92938,-0.159424,-0.107666,-30.27
836568950,-104.197,-1.79432,30.18,-0.263672,180,-2.02148,177.451,-103.36,6890.15,-18.5163,-757.669,7.33371,0.0372314,-0.174866,-30.18
836607999,-104.88,-0.68319,30.09,-0.175781,-179.912,-2.02148,177.363,-103.36,6891.95,-20.2583,-755.997,4.99316,0.214111,-0.314087,-30.09
836652383,-105.647,0.568046,29.99,-0.263672,180,-2.02148,177.451,-103.36,6893.94,-22.1714,-754.022,4.36902,0.0765381,-0.195435,-29.99
836674672,-106.176,1.43553,29.95,-0.263672,-179.912,-2.02148,177.275,-103.36,6895.5,-23.1668,-752.513,11.8588,-0.0119629,-0.451965,-29.95
836710526,-106.982,2.76103,29.83,-0.263672,180,-2.02148,177.275,-103.368,6897.77,-25.4843,-750.904,8.582,0.366211,-0.143799,-29.83
836758470,-107.986,4.41205,29.66,-0.263672,180,-2.02148,177.363,-103.368,6900.14,-27.9028,-747.964,14.5114,-0.0420532,-0.261597,-29.6
836796376,-108.863,5.87808,29.45,-0.263672,-179.912,-2.02148,177.275,-103.368,6902.6,-30.4458,-746.129,16.5399,0.302795,0.182495,-29.45
836820715,-109.447,6.85375,29.28,0.615234,-179.473,-2.02148,177.275,-103.368,6903.84,-31.8534,-744.231,13.7312,0.23468,-0.202148,-29.28
836865216,-110.78,9.18599,29.01,2.46094,-177.1,-2.02148,177.275,-103.368,6907.11,-36.0373,-740.926,22.7813,0.00909424,-0.0980225,-29.01
836910410,-111.804,11.0537,28.55,3.7793,-175.957,-2.02148,177.451,-103.368,6909.95,-38.9691,-738.165,26.3701,-0.0253296,-0.0305786,-28.55
836950269,-112.928,13.1538,28.21,3.7793,-175.957,-2.02148,177.363,-103.368,6913.5,-42.0253,-735.234,23.4055,0.0866699,-0.650452,-28.21
837000078,-114.173,15.5033,27.42,3.86719,-176.924,-2.10938,177.363,-103.368,6917.21,-45.1905,-731.462,32.2995,0.169067,-0.0894775,-27.42
837031189,-115.02,17.0752,27.06,3.95508,-177.1,-2.10938,177.275,-103.376,6918.71,-48.5111,-729.144,29.8029,-0.13916,0.0830688,-27.06
837079783,-116.386,19.7772,26.55,3.25195,-177.1,-2.02148,177.275,-103.368,6923.59,-51.8396,-725.217,23.5615,0.00543213,-0.342163,-26.55
837112179,-117.246,21.4432,26.17,2.54883,-177.1,-2.02148,177.451,-103.368,6925.21,-55.2691,-722.76,33.7039,0.215149,-0.346252,-26.17
837166081,-118.618,24.2851,25.43,2.28516,-177.1,-2.10938,177.363,-103.368,6930.09,-58.7919,-718.529,35.2642,0.480347,-0.152222,-25.43
837207494,-120.05,27.218,25.05,2.37305,-177.1,-2.10938,177.363,-103.368,6933.52,-64.189,-714.291,33.8599,0.189575,-0.144653,-24.85
837253403,-121.186,29.6694,24.29,2.37305,-177.188,-2.02148,177.451,-103.368,6937.13,-67.914,-710.807,31.2073,0.255249,-0.582031,-24.29
837286822,-122.105,31.7113,23.89,2.46094,-177.1,-2.02148,177.275,-103.368,6940.69,-69.7649,-707.253,31.9875,-0.180908,0.154846,-23.89
837338411,-123.635,35.1381,23.32,2.37305,-177.1,-2.02148,177.275,-103.36,6945.28,-75.6052,-702.649,30.7392,0.167664,0.264099,-23.32
837364818,-124.301,36.7037,22.94,2.37305,-177.1,-2.02148,177.275,-103.36,6948.21,-77.596,-700.759,35.1082,0.260498,-0.146545,-22.94
837405336,-125.761,40.085,22.35,2.37305,-177.1,-2.10938,177.275,-103.337,6952.07,-83.6619,-695.915,40.5695,-0.000854492,-0.0792236,-22.35
837445253,-126.706,42.3907,21.97,2.37305,-177.1,-2.02148,177.363,-103.337,6956.03,-85.7382,-691.972,32.2995,0.00897217,0.000183105,-21.78
837474999,-127.667,44.7344,21.55,2.37305,-177.1,-2.02148,177.451,-103.345,6958.97,-89.9532,-688.993,37.2927,0.143372,-0.170044,-21.55
837520799,-128.81,47.6267,20.92,2.37305,-177.188,-2.10938,177.363,-103.345,6963.13,-94.1993,-684.957,34.9521,0.121765,-0.219299,-20.72
837552754,-129.843,50.3218,20.53,2.37305,-177.1,-2.10938,177.451,-103.352,6967.25,-98.5309,-681.854,32.1435,-0.0280151,-0.287537,-20.33
837601765,-131.129,53.822,19.67,2.37305,-177.1,-2.02148,177.363,-103.36,6972.47,-102.971,-676.597,26.5262,-0.0983887,-0.0458984,-19.67
837639131,-132.14,56.5759,19.26,2.37305,-177.1,-2.02148,177.451,-103.352,6975.64,-107.396,-672.437,28.8667,0.158936,-0.182739,-19.26
837677661,-133.126,59.4307,18.61,2.28516,-177.1,-2.10938,177.363,-103.352,6979.99,-111.899,-669.202,34.6401,0.454834,0.0374146,-18.61
837708961,-134.212,62.5177,18.19,1.49414,-178.857,-2.10938,177.451,-103.36,6984.24,-116.425,-664.885,35.8884,-0.157104,0.111145,-18.19
837745870,-135.234,65.4179,17.82,1.31836,-179.648,-2.02148,177.363,-103.36,6987.6,-120.982,-660.499,24.3417,0.143677,-0.371277,-17.67
837790161,-136.332,68.6293,17.36,1.31836,180,-2.02148,177.451,-103.352,6992.18,-125.555,-656.067,19.5045,0.108948,-0.243225,-17.25
837825235,-137.413,71.8424,17.02,1.31836,179.824,-2.02148,177.451,-103.36,6996.68,-130.151,-651.611,17.164,-0.440613,-0.298706,-17.02
837862863,-138.409,74.8442,16.81,1.31836,179.824,-2.10938,177.363,-103.36,7001.33,-134.817,-648.267,18.7244,0.131165,0.0780029,-16.81
837895646,-139.12,77.0106,16.59,1.23047,179.824,-2.10938,177.363,-103.36,7004.74,-137.127,-644.868,25.1219,0.266541,-0.00543213,-16.59
837926610,-139.931,79.5082,16.36,1.40625,179.912,-2.10938,177.451,-103.36,7008.22,-139.499,-640.218,19.8166,-0.240906,-0.319275,-16.23
837964489,-141.177,83.4162,16.01,1.40625,179.736,-2.02148,177.451,-103.36,7012.89,-146.645,-635.622,19.3485,-0.0646973,0.098999,-16.01
838003320,-142.133,86.4878,15.76,1.40625,179.824,-2.10938,177.451,-103.36,7017.49,-151.428,-632.138,26.6822,0.0464478,-0.117249,-15.61
838042180,-142.918,89.0551,15.32,1.40625,179.824,-2.19727,177.451,-103.36,7021.1,-153.862,-627.441,26.5262,0.189331,0.255432,-15.17
838072912,-143.837,92.132,15.02,1.40625,179.736,-2.19727,177.363,-103.368,7025.74,-158.614,-623.995,24.1856,0.262207,-0.170532,-15.02
838125471,-144.954,96.0139,14.43,1.14258,179.824,-2.10938,177.363,-103.36,7031.46,-163.342,-618.272,29.3348,0.0471802,0.0568848,-14.43
838156301,-145.842,99.1423,14.14,0.175781,179.912,-2.10938,177.451,-103.36,7035.01,-168.171,-613.645,25.1219,-0.198364,-0.0570068,-14.14
838202298,-146.812,102.656,13.82,-2.37305,179.561,-2.19727,177.539,-103.36,7040.54,-172.775,-609.196,18.1002,0.286072,0.13324,-13.82
838242579,-147.743,105.855,13.62,-2.98828,176.924,-2.19727,177.451,-103.36,7044.97,-177.286,-604.803,7.80182,0.177673,0.059082,-13.56
838277589,-148.61,108.692,13.47,-2.90039,174.902,-3.33984,177.451,-103.36,7048.18,-181.672,-600.533,4.68109,0.300842,-0.0632935,-13.47
838336235,-150.13,113.002,13.45,-7.38281,173.672,-6.76758,175.166,-103.36,7054.22,-187.846,-594.46,5.61731,0.0216064,0.842285,-13.45
838362681,-150.739,114.578,13.43,-8.61328,172.354,-8.26172,172.881,-103.352,7057.08,-189.76,-592.476,-2.96469,0.1474,0.54303,-13.45
838406810,-151.553,116.545,13.66,-11.7773,172.266,-9.75586,171.387,-103.337,7059.25,-193.205,-589.552,-38.0729,0.449524,-0.000427246,-13.66
838443575,-151.826,117.187,14.35,-11.6016,172.354,-9.75586,171.475,-103.306,7059.73,-193.974,-587.982,-50.7118,-0.242981,0.665649,-14.35
838471746,-152.116,117.831,15.01,-12.1289,172.178,-9.75586,171.211,-103.29,7059.95,-195.553,-586.939,-50.8679,-0.835449,0.722107,-15.01
838518755,-152.528,118.704,16.13,-12.2168,171.65,-9.75586,171.211,-103.244,7060.34,-197.241,-585.104,-88.1606,0.949097,-0.605591,-16.13
838570608,-153.042,119.743,17.2,-12.2168,172.002,-9.75586,171.299,-103.197,7060.79,-199.62,-583.261,-45.5626,0.381226,0.355286,-17.2
838610168,-153.419,120.472,18.17,-12.9199,171.562,-9.84375,171.299,-103.143,7061.02,-201.098,-581.628,-47.9032,-0.0874023,0.689453,-18.17
838664561,-153.112,119.988,19.2,-13.7988,166.816,-12.041,169.189,-103.135,7058.73,-201.121,-581.644,-59.4499,-0.402405,0.405945,-19.54
838719596,-152.665,119.349,20.48,-14.5898,165.41,-12.3047,168.574,-103.119,7055.71,-201.114,-581.721,-65.6913,0.0116577,0.391602,-20.48
838754050,-152.278,118.808,21.1,-14.7656,165.586,-12.5684,168.486,-103.127,7053.05,-201.114,-581.729,-48.8394,0.859863,0.556091,-21.37
838799214,-151.836,118.201,21.77,-15.0293,165.586,-12.6563,168.223,-103.158,7050.1,-201.114,-581.815,-37.1367,-0.222534,0.902954,-21.77
838821890,-151.609,117.893,21.99,-15.0293,165.586,-12.6563,168.223,-103.174,7048.59,-201.114,-581.846,-14.5114,-0.0211182,0.836792,-21.99
838864292,-151.055,117.14,22.03,-15.0293,165.586,-12.6563,167.959,-103.166,7044.99,-201.114,-581.986,4.68109,-0.0930786,0.812744,-22.03
838893867,-150.702,116.661,22.02,-15.1172,165.586,-12.6563,168.047,-103.181,7042.67,-201.082,-582.032,17.6321,0.756897,0.0604248,-22.02
838940260,-150.018,115.713,21.84,-15.0293,165.674,-12.6563,167.783,-103.189,7038.8,-200.787,-582.546,-11.5467,0.662781,0.161682,-21.84
838968066,-149.696,115.256,21.75,-15.0293,165.762,-12.6563,167.871,-103.181,7037.54,-200.32,-583.051,13.7312,0.749084,0.450073,-21.75
839004357,-149.013,114.296,21.73,-15.1172,165.762,-12.6563,167.783,-103.174,7034.28,-199.651,-583.829,-0.936218,-0.910278,-0.0435791,-21.73
839040195,-148.556,113.648,21.61,-14.9414,165.85,-12.832,167.695,-103.174,7032.11,-199.302,-584.482,-11.2346,0.163147,-0.304504,-21.61
839072203,-147.787,112.778,21.6,-19.8633,159.434,-18.9844,162.07,-103.174,7029.09,-198.384,-585.182,-3.4328,0.138794,0.0768433,-21.6
839123156,-146.421,111.884,21.38,-34.2773,144.316,-34.3652,144.141,-103.236,7025.78,-196.735,-586.815,19.9727,0.0401001,-0.141846,-21.38
839158732,-145.504,111.522,21.24,-44.4727,132.363,-46.4941,133.506,-103.244,7023.26,-196.144,-587.663,-2.34055,-0.53949,-0.0625,-21.19
839184949,-144.73,111.324,21.16,-52.998,124.805,-53.6133,126.826,-103.267,7021.28,-195.499,-588.254,16.0717,-0.217834,-0.236389,-21.02
839226688,-143.377,111.224,20.61,-65.127,114.346,-65.127,115.137,-103.267,7019.8,-193.687,-590.385,34.6401,-0.00250244,-0.262817,-20.61
839265843,-142.269,111.193,20.34,-67.5,111.182,-68.1152,112.939,-103.275,7018.23,-192.233,-591.808,9.36218,-0.558044,-0.29834,-20.21
839305175,-140.989,111.154,20.01,-69.6973,111.182,-68.9941,112.852,-103.298,7016.51,-190.607,-593.612,-15.6036,0.435791,-0.269104,-20.01
839341677,-139.99,111.111,19.81,-67.5,112.061,-68.2031,112.852,-103.282,7014.68,-189.798,-594.949,7.80182,0.352112,-0.353027,-19.81
839374282,-138.693,111.041,19.6,-66.9727,112.939,-67.6758,112.939,-103.275,7013.21,-188.002,-596.87,17.32,-0.135315,0.217102,-19.6
839430233,-136.668,110.902,19.37,-66.5332,113.027,-66.1816,112.939,-103.282,7010.69,-185.062,-599.538,5.77335,0.124695,0.274353,-19.37
839480364,-134.611,110.655,19.08,-63.5449,117.07,-65.127,115.312,-103.306,7007.27,-182.97,-602.337,25.59,-0.252991,0.288025,-19.08
839520079,-133.181,110.379,18.97,-60.0293,121.113,-60.7324,119.531,-103.306,7005.53,-180.723,-604.18,-0,-0.000793457,0.182068,-18.97
839552076,-131.434,109.857,19.01,-54.0527,126.299,-55.1953,125.859,-103.306,7003.11,-178.336,-606.669,-3.58884,-0.207581,0.64679,-19.01
839599674,-129.349,109.009,19.14,-47.4609,131.572,-50.0098,131.924,-103.321,7000.01,-175.769,-610.021,-13.7312,0.848755,0.0915527,-19.14
839627432,-128.004,108.401,19.31,-45.8789,133.066,-46.7578,134.561,-103.298,6998.74,-173.133,-611.988,-14.6674,0.0783081,0.34198,-19.31
839665966,-126.192,107.549,19.43,-45.1758,134.033,-45.6152,135.352,-103.329,6996.28,-170.326,-614.765,-17.9442,-0.0345459,0.348694,-19.43
839699547,-124.893,106.945,19.71,-45.3516,134.033,-45.5273,135.439,-103.321,6994.14,-168.902,-616.926,6.8656,-0.418091,0.172485,-19.74
839748854,-122.305,105.629,19.34,-45.2637,136.67,-45.6152,138.076,-103.329,6990.41,-164.641,-620.558,33.0797,-0.0705566,0.438293,-19.34
839799664,-120.053,104.446,18.83,-45.2637,136.67,-45.6152,138.076,-103.337,6986.6,-161.872,-624.174,31.2073,-0.105286,-0.1604,-18.83
839832393,-118.325,103.559,18.66,-45.4395,136.67,-45.6152,136.934,-103.337,6984.33,-158.793,-626.585,5.77335,0.221497,0.0958252,-18.66
839879660,-115.774,102.318,18.44,-45.3516,134.912,-45.6152,133.857,-103.337,6980.27,-155.698,-630.785,22.3132,-0.0326538,0.0258179,-18.3
839922252,-113.032,100.97,17.97,-45.4395,134.297,-45.6152,133.594,-103.345,6976.04,-150.977,-634.059,31.5193,0.166077,-0.245667,-17.97
839954358,-111.572,100.252,17.88,-45.3516,134.297,-45.5273,133.594,-103.345,6973.55,-149.352,-636.454,9.83029,0.0776367,-0.25,-17.81
840004151,-108.908,98.9276,17.67,-45.2637,134.297,-45.6152,133.682,-103.337,6969.26,-146,-640.708,10.4544,-0.16333,-0.215515,-17.67
840059240,-105.402,97.2149,17.49,-46.3184,133.506,-45.7031,132.803,-103.337,6964.05,-140.883,-645.988,10.9225,0.20343,-0.128296,-17.45
840092081,-103.613,96.4159,17.27,-48.4277,131.309,-47.9883,130.43,-103.337,6962.29,-137.391,-648.578,20.2847,-0.0205688,-0.000854492,-17.27
840137908,-100.684,95.374,16.98,-54.668,127.178,-53.3496,125.859,-103.345,6957.78,-133.845,-652.956,24.0296,-0.579712,0.274475,-16.85
840161258,-99.3763,94.9387,16.7,-56.25,124.98,-54.4043,124.805,-103.36,6955.76,-132.204,-654.83,12.3269,-6.10352e-05,-0.41803,-16.7
840205527,-95.7576,93.8235,16.45,-57.041,124.453,-57.7441,124.277,-103.368,6951.03,-126.543,-659.589,23.0934,-1.05872,0.106079,-16.45
840250983,-93.0569,92.9521,15.64,-57.2168,124.453,-58.3594,124.365,-103.352,6947.01,-122.911,-663.283,66.4715,-0.268433,0.395447,-15.64
840275793,-91.2334,92.3316,14.98,-57.2168,124.453,-58.5352,124.453,-103.345,6943.85,-121.161,-666.067,55.0808,0.0459595,0.0604858,-14.98
840318090,-88.4814,91.3631,14.09,-57.1289,124.453,-58.5352,124.365,-103.345,6939.67,-117.467,-669.87,50.5558,0.216919,0.142273,-14.09
840351037,-85.9779,90.462,13.56,-57.2168,124.453,-58.5352,124.277,-103.352,6935.62,-113.719,-672.724,45.0945,0.0857544,-0.0235596,-13.56
840397510,-82.9688,89.3625,12.6,-57.2168,123.398,-58.5352,122.959,-103.345,6931.3,-109.986,-677.484,58.9818,0.205017,0.0319214,-12.6
840415769,-81.5786,88.8619,12.27,-57.2168,122.432,-58.623,122.344,-103.337,6929.24,-108.135,-679.475,55.3929,-0.0880127,0.152527,-12.27
840459047,-78.4751,87.7032,11.42,-57.1289,122.256,-58.623,121.904,-103.337,6923.85,-104.286,-683.48,41.0376,-0.368835,0.172485,-11.42
840487381,-76.3216,86.8845,10.97,-57.2168,122.256,-58.623,121.992,-103.337,6921.7,-100.265,-686.528,43.3781,-0.110229,-0.236023,-10.97
