time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw
746690320,-46.9755,-113.715,23.05,-176.309,7.20703,-175.693,5.09766,-103.601,6677.1,-714.656,-823.655,-0,0.0651855,0.0140381,-23.05
746726627,-46.9755,-113.715,23.05,-176.309,7.20703,-175.605,5.18555,-103.601,6677.1,-714.656,-823.655,0.468109,0.0680542,0.0130615,-23.05
746759826,-46.9755,-113.715,23.05,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0.156036,0.0650635,0.0141602,-23.05
746789856,-46.9755,-113.715,23.05,-176.309,7.20703,-175.605,5.18555,-103.601,6677.1,-714.656,-823.655,0.156036,0.0641479,0.0137939,-23.05
746815106,-46.9755,-113.715,23.05,-176.309,7.20703,-175.693,5.09766,-103.601,6677.1,-714.656,-823.655,0.156036,0.0631104,0.0151367,-23.05
746854068,-46.9755,-113.715,23.05,-176.309,7.29492,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0.468109,0.0653687,0.0115356,-23.05
746889225,-46.9755,-113.715,23.05,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,0.156036,0.0639648,0.0164795,-23.05
746935894,-46.9755,-113.715,23.05,-176.309,7.29492,-175.693,5.09766,-103.601,6677.1,-714.656,-823.655,-0.312073,0.0635986,0.0151978,-23.05
746970498,-46.9755,-113.715,23.05,-176.221,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,0.312073,0.0661621,0.0155029,-23.05
747007913,-46.9755,-113.715,23.05,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0.156036,0.0639038,0.0169067,-23.05
747052495,-46.9755,-113.715,23.05,-176.309,7.20703,-175.693,5.09766,-103.601,6677.1,-714.656,-823.655,-0.468109,0.06604,0.0129395,-23.05
747082413,-46.9755,-113.715,23.05,-176.309,7.29492,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0.156036,0.0647583,0.0147095,-23.05
747124291,-46.9755,-113.715,23.06,-176.309,7.29492,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0.312073,0.0683594,0.0145874,-23.06
747160285,-46.9755,-113.715,23.06,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0.156036,0.0680542,0.0123901,-23.05
747195907,-46.9755,-113.715,23.07,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0,0.065918,0.0134888,-23.07
747219781,-46.9755,-113.715,23.07,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0,0.0657959,0.0148315,-23.06
747262772,-46.9755,-113.715,23.06,-176.309,7.20703,-175.693,5.18555,-103.601,6677.1,-714.656,-823.655,-0,0.0653687,0.0126343,-23.06
747294172,-46.9755,-113.715,23.06,-176.309,7.29492,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0.312073,0.0650635,0.0136719,-23.06
747341598,-46.9755,-113.715,23.07,-176.309,7.29492,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,0.312073,0.0654297,0.0137939,-23.07
747371322,-46.9755,-113.715,23.06,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0,0.065979,0.0160522,-23.07
747408787,-46.9755,-113.715,23.07,-176.309,7.29492,-175.605,5.18555,-103.601,6677.1,-714.656,-823.655,0.468109,0.0678711,0.0136719,-23.07
747455356,-46.9755,-113.715,23.07,-176.309,7.20703,-175.693,5.09766,-103.601,6677.1,-714.656,-823.655,-0.156036,0.0671387,0.0142212,-23.07
747479061,-46.9755,-113.715,23.07,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0,0.0643311,0.0154419,-23.07
747522168,-46.9755,-113.715,23.07,-176.309,7.20703,-175.693,5.09766,-103.601,6677.1,-714.656,-823.655,-0,0.0665894,0.0141602,-23.07
747550181,-46.9755,-113.715,23.07,-176.309,7.29492,-175.605,5.18555,-103.601,6677.1,-714.656,-823.655,-0.312073,0.065918,0.0151978,-23.07
747601803,-46.9755,-113.715,23.07,-176.309,7.20703,-175.605,5.18555,-103.601,6677.1,-714.656,-823.655,0.156036,0.06604,0.0128784,-23.07
747637408,-46.9755,-113.715,23.07,-176.309,7.20703,-175.693,5.09766,-103.601,6677.1,-714.656,-823.655,-0.312073,0.0645142,0.0122681,-23.07
747671932,-46.9755,-113.715,23.07,-176.309,7.20703,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,0.156036,0.0654297,0.0154419,-23.07
747722698,-46.9755,-113.715,23.07,-176.309,7.20703,-175.605,5.18555,-103.601,6677.1,-714.656,-823.655,-0,0.0665894,0.0112915,-23.07
747756007,-46.9755,-113.715,23.07,-176.309,7.29492,-175.605,5.09766,-103.601,6677.1,-714.656,-823.655,-0,0.0647583,0.0129395,-23.07
