time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw
922978817,-79.9047,-54.2129,27.79,-127.881,128.672,-47.1973,-131.309,-55.3235,4818.47,492.258,-746.113,0.312073,0.0681152,0.0145264,-27.79
923028790,-79.9047,-54.2129,27.79,-127.793,128.76,-47.2852,-131.309,-55.3235,4818.47,492.258,-746.113,-0.156036,0.0710449,0.0166016,-27.79
923077567,-79.9047,-54.2129,27.79,-127.881,128.76,-47.1973,-131.309,-55.3235,4818.47,492.258,-746.113,-0.156036,0.0715332,0.0151367,-27.79
923119505,-79.9047,-54.2129,27.79,-127.881,128.848,-47.1094,-131.309,-55.3235,4818.47,492.258,-746.113,-0,0.069519,0.0167236,-27.79
923164996,-79.9047,-54.2129,27.79,-127.881,128.76,-47.1973,-131.221,-55.3235,4818.47,492.258,-746.113,-0,0.069458,0.0181885,-27.79
923204384,-79.9047,-54.2129,27.79,-127.793,128.672,-47.2852,-131.221,-55.3235,4818.47,492.258,-746.113,0.156036,0.0693359,0.0115967,-27.79
923238624,-79.9047,-54.2129,27.79,-127.881,128.76,-47.1973,-131.309,-55.3235,4818.47,492.258,-746.113,-0.156036,0.0674438,0.0153809,-27.79
923288719,-79.9047,-54.2129,27.79,-127.881,128.76,-47.1973,-131.221,-55.3235,4818.47,492.258,-746.113,-0,0.0690308,0.0154419,-27.79
923311571,-79.9047,-54.2129,27.79,-127.793,128.76,-47.1094,-131.221,-55.3235,4818.47,492.258,-746.113,0.156036,0.071228,0.0151367,-27.79
923345612,-79.9047,-54.2129,27.79,-127.793,128.672,-47.1973,-131.133,-55.3235,4818.47,492.258,-746.113,-0,0.0689697,0.015564,-27.79
923384011,-79.9047,-54.2129,27.79,-127.969,128.76,-47.2852,-131.309,-55.3235,4818.47,492.258,-746.113,0.312073,0.0714722,0.0164795,-27.79
923427546,-79.9047,-54.2129,27.79,-127.705,128.76,-47.1973,-131.309,-55.3235,4818.47,492.258,-746.113,-0.468109,0.0687866,0.0142822,-27.79
923474067,-79.9047,-54.2129,27.79,-127.793,128.672,-47.2852,-131.133,-55.3235,4818.47,492.258,-746.113,-0.156036,0.0679321,0.015564,-27.79
923520042,-79.9047,-54.2129,27.79,-127.881,128.76,-47.1973,-131.309,-55.3235,4818.47,492.258,-746.113,-0,0.0675049,0.0144043,-27.79
923566951,-79.9047,-54.2129,27.79,-127.793,128.76,-47.1973,-131.221,-55.3235,4818.47,492.258,-746.113,-0,0.069397,0.0158691,-27.79
923603924,-79.9047,-54.2129,27.79,-127.793,128.672,-47.1094,-131.309,-55.3235,4818.47,492.258,-746.113,0.468109,0.0708618,0.0146484,-27.79
923639263,-79.9047,-54.2129,27.79,-127.793,128.76,-47.1973,-131.221,-55.3235,4818.47,492.258,-746.113,0.156036,0.0691528,0.0151978,-27.79
923673224,-79.9047,-54.2129,27.79,-127.793,128.76,-47.1973,-131.309,-55.3235,4818.47,492.258,-746.113,0.156036,0.0693359,0.0170288,-27.78
923716845,-79.9047,-54.2129,27.79,-127.793,128.76,-47.2852,-131.309,-55.3235,4818.47,492.258,-746.113,0.156036,0.069397,0.0179443,-27.79
923749602,-79.9047,-54.2129,27.79,-127.881,128.76,-47.1973,-131.221,-55.3235,4818.47,492.258,-746.113,0.468109,0.0697632,0.0155029,-27.79
923796450,-79.9238,-54.1318,27.78,-134.385,136.846,-38.4082,-136.055,-55.3235,4818.71,492.328,-745.825,0.936218,0.00616455,-0.222839,-27.78
923827378,-80.1393,-53.7888,27.77,-153.457,155.479,-23.1152,-149.414,-55.3235,4819.2,491.683,-745.164,-25.59,0.131348,-0.801331,-27.86
923867191,-80.3007,-53.4671,28.05,-172.881,172.969,-1.8457,-168.574,-55.3235,4819.7,491.278,-744.612,-14.1993,-0.0834961,-0.508972,-28.05
923910551,-80.5028,-53.0621,28.39,180,-179.824,5.36133,-179.209,-55.3235,4820.29,490.773,-743.897,-15.7597,-0.0273438,-0.556519,-28.39
