time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,162,97,0,0,-0,0,0,-100,0
0.02,162,96.98,0,0,-2,0,0,-100,0
0.04,162,96.92,0,0,-4,0,0,-100,0
0.06,162,96.82,0,0,-6,0,0,-100,0
0.08,162,96.68,0,0,-8,0,0,-100,0
0.1,162,96.5,0,0,-10,0,0,-100,0
0.12,162,96.28,0,0,-12,0,0,-100,0
0.14,162,96.02,0,0,-14,0,0,-100,0
0.16,162,95.72,0,0,-16,0,0,-100,0
0.18,162,95.38,0,0,-18,0,0,-100,0
0.2,162,95,0,0,-20,0,0,-100,0
0.22,162,94.58,0,0,-22,0,0,-100,0
0.24,162,94.12,0,0,-24,0,0,-100,0
0.26,162,93.62,0,0,-26,0,0,-100,0
0.28,162,93.08,0,0,-28,0,0,-100,0
0.3,162,92.5,0,0,-30,0,0,-100,0
0.32,162,91.88,0,-0.65146,-31.993,0,-2.0358,-99.979,0
0.34,161.9,91.228,0,-8.8942,-32.816,0,-26.159,-96.518,0
0.36,161.65,90.576,0,-16.248,-32.125,0,-45.134,-89.235,0
0.38,161.23,89.967,0,-24.844,-28.754,0,-65.379,-75.668,0
0.4,160.65,89.451,0,-32.696,-23.043,0,-81.741,-57.606,0
0.42,159.92,89.085,0,-39.749,-13.565,0,-94.641,-32.298,0
0.44,159.08,88.92,0,-43.958,-1.9284,0,-99.904,-4.3827,0
0.46,158.19,89.003,0,-44.668,10.988,0,-97.105,23.886,0
0.48,157.32,89.35,0,-42.9,21.53,0,-89.376,44.855,0
0.5,156.44,89.79,0,-44.688,22.428,0,-89.376,44.855,0
0.52,155.53,90.247,0,-46.475,23.325,0,-89.376,44.855,0
0.54,154.58,90.723,0,-48.263,24.222,0,-89.376,44.855,0
0.56,153.6,91.216,0,-50.05,25.119,0,-89.376,44.855,0
0.58,152.58,91.728,0,-51.838,26.016,0,-89.376,44.855,0
0.6,151.53,92.257,0,-53.625,26.913,0,-89.376,44.855,0
0.62,150.44,92.804,0,-55.413,27.81,0,-89.376,44.855,0
0.64,149.31,93.369,0,-57.2,28.707,0,-89.376,44.855,0
0.66,148.15,93.952,0,-58.988,29.604,0,-89.376,44.855,0
0.68,146.95,94.553,0,-60.775,30.502,0,-89.376,44.855,0
0.7,145.72,95.172,0,-62.563,31.399,0,-89.376,44.855,0
0.72,144.45,95.809,0,-64.35,32.296,0,-89.376,44.855,0
0.74,143.14,96.464,0,-66.138,33.193,0,-89.376,44.855,0
0.76,141.8,97.137,0,-67.926,34.09,0,-89.376,44.855,0
0.78,140.43,97.828,0,-69.713,34.987,0,-89.376,44.855,0
0.8,139.01,98.537,0,-71.501,35.884,0,-89.376,44.855,0
0.82,137.57,99.263,0,-73.288,36.781,0,-89.376,44.855,0
0.84,136.08,100.01,0,-75.076,37.678,0,-89.376,44.855,0
0.86,134.56,100.77,0,-76.863,38.575,0,-89.376,44.855,0
0.88,133.01,101.55,0,-78.651,39.473,0,-89.376,44.855,0
0.9,131.42,102.35,0,-80.438,40.37,0,-17.875,8.971,0
0.92,129.8,103.16,0,-80.796,40.549,0,-17.875,8.971,0
0.94,128.18,103.97,0,-81.153,40.729,0,-17.875,8.971,0
0.96,126.56,104.79,0,-81.511,40.908,0,-17.875,8.971,0
0.98,124.92,105.61,0,-81.868,41.087,0,-17.875,8.971,0
1,123.28,106.43,0,-82.226,41.267,0,-17.875,8.971,0
1.02,121.63,107.26,0,-82.583,41.446,0,-17.875,8.971,0
1.04,119.98,108.09,0,-82.941,41.626,0,-17.875,8.971,0
1.06,118.32,108.92,0,-83.298,41.805,0,-17.875,8.971,0
1.08,116.65,109.76,0,-83.656,41.984,0,-17.875,8.971,0
1.1,114.97,110.6,0,-83.966,42.14,0,178.75,-89.71,0
1.12,113.33,111.43,0,-80.391,40.346,0,178.75,-89.71,0
1.14,111.76,112.22,0,-76.816,38.552,0,178.75,-89.71,0
1.16,110.26,112.97,0,-73.241,36.758,0,178.75,-89.71,0
1.18,108.83,113.69,0,-69.666,34.963,0,178.75,-89.71,0
1.2,107.47,114.37,0,-66.091,33.169,0,178.75,-89.71,0
1.22,106.18,115.01,0,-62.516,31.375,0,178.75,-89.71,0
1.24,104.97,115.62,0,-58.941,29.581,0,178.75,-89.71,0
1.26,103.82,116.2,0,-55.366,27.787,0,178.75,-89.71,0
1.28,102.75,116.73,0,-51.791,25.992,0,178.75,-89.71,0
1.3,101.75,117.24,0,-48.216,24.198,0,178.75,-89.71,0
1.32,100.82,117.7,0,-44.641,22.404,0,178.75,-89.71,0
1.34,99.968,118.13,0,-41.066,20.61,0,178.75,-89.71,0
1.36,99.182,118.53,0,-37.491,18.816,0,178.75,-89.71,0
1.38,98.468,118.88,0,-33.916,17.021,0,178.75,-89.71,0
1.4,97.825,119.21,0,-30.341,15.227,0,178.75,-89.71,0
1.42,97.254,119.49,0,-26.766,13.433,0,178.75,-89.71,0
1.44,96.755,119.74,0,-23.191,11.639,0,178.75,-89.71,0
1.46,96.327,119.96,0,-19.615,9.8445,0,178.75,-89.71,0
1.48,95.97,120.14,0,-16.04,8.0503,0,178.75,-89.71,0
1.5,95.685,120.28,0,-12.465,6.2561,0,178.75,-89.71,0
1.52,95.472,120.39,0,-8.8904,4.4619,0,178.75,-89.71,0
1.54,95.329,120.46,0,-5.3154,2.6676,0,178.75,-89.71,0
1.56,95.259,120.5,0,-1.7403,0.87343,0,178.75,-89.71,0
1.5697,95.25,120.5,0,-0,0,0,178.75,-89.71,0
