time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,162,97,0,0,-0,0,0,-100,0
0.02,162,96.98,0,0,-2,0,0,-100,0
0.04,162,96.92,0,0,-4,0,0,-100,0
0.06,162,96.82,0,0,-6,0,0,-100,0
0.08,162,96.68,0,0,-8,0,0,-100,0
0.1,162,96.5,0,0,-10,0,0,-100,0
0.12,162,96.28,0,0,-12,0,0,-100,0
0.14,162,96.02,0,0,-14,0,0,-100,0
0.16,162,95.72,0,0,-16,0,0,-100,0
0.18,162,95.38,0,0,-18,0,0,-100,0
0.2,162,95,0,0,-20,0,0,-100,0
0.22,162,94.58,0,0,-22,0,0,-100,0
0.24,162,94.12,0,0,-24,0,0,-100,0
0.26,162,93.62,0,0,-26,0,0,-100,0
0.28,162,93.08,0,0,-28,0,0,-100,0
0.3,162,92.5,0,0,-30,0,0,-100,0
0.32,162,91.88,0,0.65146,-31.993,0,2.0358,-99.979,0
0.34,162.1,91.228,0,8.8942,-32.816,0,26.159,-96.518,0
0.36,162.35,90.576,0,16.248,-32.125,0,45.134,-89.235,0
0.38,162.77,89.967,0,24.844,-28.754,0,65.379,-75.668,0
0.4,163.35,89.451,0,32.696,-23.043,0,81.741,-57.606,0
0.42,164.08,89.085,0,39.749,-13.565,0,94.641,-32.298,0
0.44,164.92,88.92,0,43.958,-1.9284,0,99.904,-4.3827,0
0.46,165.81,89.003,0,44.668,10.988,0,97.105,23.886,0
0.48,166.68,89.35,0,42.9,21.53,0,89.376,44.855,0
0.5,167.56,89.79,0,44.688,22.428,0,89.376,44.855,0
0.52,168.47,90.247,0,46.475,23.325,0,89.376,44.855,0
0.54,169.42,90.723,0,48.263,24.222,0,89.376,44.855,0
0.56,170.4,91.216,0,50.05,25.119,0,89.376,44.855,0
0.58,171.42,91.728,0,51.838,26.016,0,89.376,44.855,0
0.6,172.47,92.257,0,53.625,26.913,0,89.376,44.855,0
0.62,173.56,92.804,0,55.413,27.81,0,89.376,44.855,0
0.64,174.69,93.369,0,57.2,28.707,0,89.376,44.855,0
0.66,175.85,93.952,0,58.988,29.604,0,89.376,44.855,0
0.68,177.05,94.553,0,60.775,30.502,0,89.376,44.855,0
0.7,178.28,95.172,0,62.563,31.399,0,89.376,44.855,0
0.72,179.55,95.809,0,64.35,32.296,0,89.376,44.855,0
0.74,180.86,96.464,0,66.138,33.193,0,89.376,44.855,0
0.76,182.2,97.137,0,67.926,34.09,0,89.376,44.855,0
0.78,183.57,97.828,0,69.713,34.987,0,89.376,44.855,0
0.8,184.99,98.537,0,71.501,35.884,0,89.376,44.855,0
0.82,186.43,99.263,0,73.288,36.781,0,89.376,44.855,0
0.84,187.92,100.01,0,75.076,37.678,0,89.376,44.855,0
0.86,189.44,100.77,0,76.863,38.575,0,89.376,44.855,0
0.88,190.99,101.55,0,78.651,39.473,0,89.376,44.855,0
0.9,192.58,102.35,0,80.438,40.37,0,17.875,8.971,0
0.92,194.2,103.16,0,80.796,40.549,0,17.875,8.971,0
0.94,195.82,103.97,0,81.153,40.729,0,17.875,8.971,0
0.96,197.44,104.79,0,81.511,40.908,0,17.875,8.971,0
0.98,199.08,105.61,0,81.868,41.087,0,17.875,8.971,0
1,200.72,106.43,0,82.226,41.267,0,17.875,8.971,0
1.02,202.37,107.26,0,82.583,41.446,0,17.875,8.971,0
1.04,204.02,108.09,0,82.941,41.626,0,17.875,8.971,0
1.06,205.68,108.92,0,83.298,41.805,0,17.875,8.971,0
1.08,207.35,109.76,0,83.656,41.984,0,17.875,8.971,0
1.1,209.03,110.6,0,83.966,42.14,0,-178.75,-89.71,0
1.12,210.67,111.43,0,80.391,40.346,0,-178.75,-89.71,0
1.14,212.24,112.22,0,76.816,38.552,0,-178.75,-89.71,0
1.16,213.74,112.97,0,73.241,36.758,0,-178.75,-89.71,0
1.18,215.17,113.69,0,69.666,34.963,0,-178.75,-89.71,0
1.2,216.53,114.37,0,66.091,33.169,0,-178.75,-89.71,0
1.22,217.82,115.01,0,62.516,31.375,0,-178.75,-89.71,0
1.24,219.03,115.62,0,58.941,29.581,0,-178.75,-89.71,0
1.26,220.18,116.2,0,55.366,27.787,0,-178.75,-89.71,0
1.28,221.25,116.73,0,51.791,25.992,0,-178.75,-89.71,0
1.3,222.25,117.24,0,48.216,24.198,0,-178.75,-89.71,0
1.32,223.18,117.7,0,44.641,22.404,0,-178.75,-89.71,0
1.34,224.03,118.13,0,41.066,20.61,0,-178.75,-89.71,0
1.36,224.82,118.53,0,37.491,18.816,0,-178.75,-89.71,0
1.38,225.53,118.88,0,33.916,17.021,0,-178.75,-89.71,0
1.4,226.17,119.21,0,30.341,15.227,0,-178.75,-89.71,0
1.42,226.75,119.49,0,26.766,13.433,0,-178.75,-89.71,0
1.44,227.25,119.74,0,23.191,11.639,0,-178.75,-89.71,0
1.46,227.67,119.96,0,19.615,9.8445,0,-178.75,-89.71,0
1.48,228.03,120.14,0,16.04,8.0503,0,-178.75,-89.71,0
1.5,228.31,120.28,0,12.465,6.2561,0,-178.75,-89.71,0
1.52,228.53,120.39,0,8.8904,4.4619,0,-178.75,-89.71,0
1.54,228.67,120.46,0,5.3154,2.6676,0,-178.75,-89.71,0
1.56,228.74,120.5,0,1.7403,0.87343,0,-178.75,-89.71,0
1.5697,228.75,120.5,0,0,0,0,-178.75,-89.71,0
