time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,46.44,19.5,0,0,0,0,0,100,0
0.04,46.44,19.58,-4.0909,0,4,-102.27,0,100,0
0.08,46.44,19.82,-8.1818,0,8,-102.27,0,100,0
0.12,46.44,20.22,-12.273,0,12,-102.27,0,100,0
0.16,46.44,20.78,-16.364,0,16,-102.27,0,100,0
0.2,46.44,21.5,-20.455,0,20,-102.27,0,100,0
0.24,46.44,22.38,-24.545,0,24,-102.27,0,100,0
0.28,46.44,23.42,-28.636,0,28,-102.27,0,100,0
0.32,46.44,24.62,-32.727,0,32,-102.27,0,100,0
0.36,46.44,25.98,-36.818,0,36,-102.27,0,100,0
0.4,46.44,27.5,-40.909,0,40,-102.27,0,100,0
0.44,46.44,29.18,-45,0,44,-102.27,0,100,0
0.48,46.44,31.02,-49.091,0,48,-102.27,0,100,0
0.52,46.44,33.02,-53.182,0,52,-102.27,0,100,0
0.56,46.44,35.18,-57.273,0,56,-102.27,0,100,0
0.6,46.44,37.5,-61.364,0,60,-102.27,0,100,0
0.64,46.44,39.98,-65.455,0.072078,64,-102.27,0.11262,100,0
0.68,46.452,42.62,-69.545,0.53607,67.998,-102.27,0.78834,99.997,0
0.72,46.485,45.42,-73.636,1.2163,71.99,-102.27,1.6892,99.986,0
0.76,46.544,48.379,-77.727,1.7973,75.979,-102.27,2.3648,99.972,0
0.8,46.632,51.498,-81.818,2.6124,79.957,-102.27,3.2654,99.947,0
0.84,46.755,54.776,-85.909,3.4993,83.927,-102.27,4.1658,99.913,0
0.88,46.915,58.212,-90,4.4579,87.887,-102.27,5.0658,99.872,0
0.92,47.116,61.774,-90,5.596,90.227,0,1.238,19.962,0
0.96,47.357,65.398,-90,6.4653,90.971,0,1.4178,19.95,0
1,47.637,69.051,-90,7.5551,91.689,0,1.6424,19.932,0
1.04,47.958,72.733,-90,8.4538,92.414,0,1.8219,19.917,0
1.08,48.319,76.444,-90,9.5759,93.109,0,2.0461,19.895,0
1.12,48.723,80.182,-90,10.609,93.802,0,2.2477,19.873,0
