time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,251.43,274.5,15,0,-0,0,0,-100,0
0.04,251.43,274.42,14.167,0,-4,-20.833,0,-100,0
0.08,251.43,274.18,13.333,0,-8,-20.833,0,-100,0
0.12,251.43,273.78,12.5,0,-12,-20.833,0,-100,0
0.16,251.43,273.22,11.667,0,-16,-20.833,0,-100,0
0.2,251.43,272.5,10.833,0,-20,-20.833,0,-100,0
0.24,251.43,271.62,10,0,-24,-20.833,0,-100,0
0.28,251.43,270.58,9.1667,0,-28,-20.833,0,-100,0
0.32,251.43,269.38,8.3333,0,-32,-20.833,0,-100,0
0.36,251.43,268.02,7.5,0,-36,-20.833,0,-100,0
0.4,251.43,266.5,6.6667,0,-40,-20.833,0,-100,0
0.44,251.43,264.82,5.8333,0,-44,-20.833,0,-100,0
0.48,251.43,262.98,5,0,-48,-20.833,0,-100,0
0.52,251.43,260.98,4.1667,0,-52,-20.833,0,-100,0
0.56,251.43,258.82,3.3333,0,-56,-20.833,0,-100,0
0.6,251.43,256.5,2.5,0,-60,-20.833,0,-100,0
0.64,251.3,254.03,1.6667,-11.003,-63.047,-20.833,-17.193,-98.511,0
0.68,250.52,251.51,0.83333,-27.983,-61.975,-20.833,-41.151,-91.14,0
0.72,249.03,249.25,-3.7748e-15,-45.823,-50.359,-20.833,67.301,73.963,0
0.76,247.03,247.53,-3.7748e-15,-53.564,-35.185,0,83.581,54.902,0
0.8,244.8,246.47,-3.7748e-15,-57.431,-17.668,0,95.579,29.404,0
0.84,242.52,246.03,-3.7748e-15,-55.914,-4.4005,0,99.692,7.8459,0
0.88,240.36,246,-3.7748e-15,-52.087,0,0,100,-0,0
0.92,238.35,246,-3.7748e-15,-48.087,0,0,100,-0,0
0.96,236.51,246,-3.7748e-15,-44.087,0,0,100,-0,0
1,234.84,245.88,-3.7748e-15,-38.666,-10.578,0,96.456,26.387,0
1.04,233.5,245.18,-3.7748e-15,-27.441,-23.437,0,76.041,64.945,0
1.08,232.65,244.12,-3.7748e-15,-15.014,-28.357,0,46.793,88.377,0
1.12,232.28,242.98,-3.7748e-15,-3.9575,-27.807,0,14.09,99.002,0
1.16,232.25,241.94,-3.7748e-15,0,-24.087,0,-0,100,0
1.2,232.25,241.06,-3.7748e-15,0,-20.087,0,-0,100,0
1.24,232.25,240.33,-3.7748e-15,0,-16.087,0,-0,100,0
1.28,232.25,239.77,-3.7748e-15,0,-12.087,0,-0,100,0
1.32,232.25,239.37,-3.7748e-15,0,-8.0869,0,-0,100,0
1.36,232.25,239.12,-3.7748e-15,0,-4.0869,0,-0,100,0
1.4,232.25,239.04,-3.7748e-15,0,-0.086942,0,-0,100,0
1.4009,232.25,239,-3.7748e-15,0,-0,0,-0,100,0
