time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,91.75,232,0,0,0,0,86.029,50.98,0
0.02,91.767,232.01,0,1.7206,1.0196,0,86.029,50.98,0
0.04,91.819,232.04,0,3.4412,2.0392,0,86.029,50.98,0
0.06,91.905,232.09,0,5.1617,3.0588,0,86.029,50.98,0
0.08,92.025,232.16,0,6.8823,4.0784,0,86.029,50.98,0
0.1,92.18,232.25,0,8.6029,5.098,0,86.029,50.98,0
0.12,92.369,232.37,0,10.323,6.1176,0,86.029,50.98,0
0.14,92.593,232.5,0,12.044,7.1372,0,86.029,50.98,0
0.16,92.851,232.65,0,13.765,8.1568,0,86.029,50.98,0
0.18,93.144,232.83,0,15.485,9.1764,0,86.029,50.98,0
0.2,93.471,233.02,0,17.206,10.196,0,86.029,50.98,0
0.22,93.832,233.23,0,18.926,11.216,0,86.029,50.98,0
0.24,94.228,233.47,0,20.647,12.235,0,86.029,50.98,0
0.26,94.658,233.72,0,22.368,13.255,0,86.029,50.98,0
0.28,95.122,234,0,24.088,14.274,0,86.029,50.98,0
0.3,95.621,234.29,0,25.809,15.294,0,86.029,50.98,0
0.32,96.155,234.61,0,27.529,16.314,0,86.029,50.98,0
0.34,96.722,234.95,0,29.25,17.333,0,86.029,50.98,0
0.36,97.325,235.3,0,30.97,18.353,0,86.029,50.98,0
0.38,97.961,235.68,0,32.691,19.372,0,86.029,50.98,0
0.4,98.633,236.08,0,34.539,20.176,0,86.347,50.44,0
0.42,99.348,236.48,0,37.036,19.807,0,88.181,47.16,0
0.44,100.11,236.87,0,39.552,19.278,0,89.891,43.813,0
0.46,100.93,237.26,0,42.078,18.586,0,91.474,40.403,0
0.48,101.79,237.63,0,44.606,17.73,0,92.928,36.937,0
0.5,102.71,237.97,0,47.125,16.709,0,94.251,33.419,0
0.52,103.67,238.3,0,49.629,15.524,0,95.44,29.853,0
0.54,104.69,238.59,0,52.28,13.519,0,96.816,25.034,0
0.56,105.76,238.84,0,54.705,11.972,0,97.688,21.378,0
0.58,106.88,239.06,0,57.209,9.5454,0,98.636,16.458,0
0.6,108.05,239.22,0,59.602,6.8973,0,99.337,11.495,0
0.62,109.27,239.33,0,61.869,4.0328,0,99.788,6.5045,0
0.64,110.52,239.38,0,63.993,0.95815,0,99.989,1.4971,0
0.66,111.82,239.36,0,65.959,-2.3192,0,99.938,-3.514,0
0.68,113.16,239.27,0,67.715,-6.2154,0,99.581,-9.1403,0
0.7,114.54,239.15,0,69.707,-6.3982,0,99.581,-9.1403,0
0.72,115.95,239.02,0,71.699,-6.581,0,99.581,-9.1403,0
0.74,117.4,238.88,0,73.69,-6.7638,0,99.581,-9.1403,0
0.76,118.9,238.75,0,75.682,-6.9466,0,99.581,-9.1403,0
0.78,120.43,238.61,0,77.673,-7.1295,0,99.581,-9.1403,0
0.8,122,238.46,0,79.665,-7.3123,0,99.581,-9.1403,0
0.82,123.62,238.31,0,81.657,-7.4951,0,99.581,-9.1403,0
0.84,125.27,238.16,0,83.648,-7.6779,0,99.581,-9.1403,0
0.86,126.96,238.01,0,85.64,-7.8607,0,99.581,-9.1403,0
0.88,128.7,237.85,0,87.632,-8.0435,0,99.581,-9.1403,0
0.9,130.47,237.69,0,89.623,-8.2263,0,19.916,-1.8281,0
0.92,132.26,237.52,0,90.022,-8.2629,0,19.916,-1.8281,0
0.94,134.07,237.35,0,90.42,-8.2994,0,19.916,-1.8281,0
0.96,135.88,237.19,0,90.818,-8.336,0,19.916,-1.8281,0
0.98,137.7,237.02,0,91.217,-8.3725,0,19.916,-1.8281,0
1,139.53,236.85,0,91.615,-8.4091,0,19.916,-1.8281,0
1.02,141.37,236.68,0,92.013,-8.4457,0,19.916,-1.8281,0
1.04,143.21,236.52,0,92.412,-8.4822,0,19.916,-1.8281,0
1.06,145.06,236.35,0,92.81,-8.5188,0,19.916,-1.8281,0
1.08,146.92,236.17,0,93.208,-8.5553,0,19.916,-1.8281,0
1.1,148.79,236,0,93.607,-8.5919,0,19.916,-1.8281,0
1.12,150.67,235.83,0,94.005,-8.6285,0,19.916,-1.8281,0
1.14,152.55,235.66,0,94.403,-8.665,0,19.916,-1.8281,0
1.16,154.44,235.48,0,94.801,-8.7016,0,19.916,-1.8281,0
1.18,156.34,235.31,0,95.2,-8.7381,0,19.916,-1.8281,0
1.2,158.25,235.14,0,95.598,-8.7747,0,19.916,-1.8281,0
1.22,160.17,234.96,0,95.996,-8.8113,0,19.916,-1.8281,0
1.24,162.09,234.78,0,96.395,-8.8478,0,19.916,-1.8281,0
1.26,164.02,234.61,0,96.793,-8.8844,0,19.916,-1.8281,0
1.28,165.96,234.43,0,97.191,-8.921,0,19.916,-1.8281,0
1.3,167.91,234.25,0,97.59,-8.9575,0,19.916,-1.8281,0
1.32,169.87,234.07,0,97.988,-8.9941,0,19.916,-1.8281,0
1.34,171.83,233.89,0,98.386,-9.0306,0,19.916,-1.8281,0
1.36,173.8,233.71,0,98.785,-9.0672,0,19.916,-1.8281,0
1.38,175.78,233.53,0,99.183,-9.1038,0,19.916,-1.8281,0
1.4,177.77,233.34,0,99.581,-9.1403,0,19.916,-1.8281,0
1.42,179.77,233.16,0,99.98,-9.1769,0,19.916,-1.8281,0
1.44,181.77,232.98,0,100.38,-9.2134,0,19.916,-1.8281,0
1.46,183.77,232.79,0,99.735,-9.1544,0,-199.16,18.281,0
1.48,185.72,232.61,0,95.752,-8.7888,0,-199.16,18.281,0
1.5,187.6,232.44,0,91.768,-8.4232,0,-199.16,18.281,0
1.52,189.4,232.28,0,87.785,-8.0576,0,-199.16,18.281,0
1.54,191.11,232.12,0,83.802,-7.692,0,-199.16,18.281,0
1.56,192.75,231.97,0,79.819,-7.3264,0,-199.16,18.281,0
1.58,194.3,231.83,0,75.835,-6.9607,0,-199.16,18.281,0
1.6,195.78,231.69,0,71.852,-6.5951,0,-199.16,18.281,0
1.62,197.18,231.56,0,67.869,-6.2295,0,-199.16,18.281,0
1.64,198.5,231.44,0,63.886,-5.8639,0,-199.16,18.281,0
1.66,199.73,231.33,0,59.902,-5.4983,0,-199.16,18.281,0
1.68,200.89,231.22,0,55.919,-5.1327,0,-199.16,18.281,0
1.7,201.97,231.12,0,51.936,-4.7671,0,-199.16,18.281,0
1.72,202.97,231.03,0,47.953,-4.4015,0,-199.16,18.281,0
1.74,203.89,230.95,0,43.969,-4.0358,0,-199.16,18.281,0
1.76,204.73,230.87,0,39.986,-3.6702,0,-199.16,18.281,0
1.78,205.49,230.8,0,36.003,-3.3046,0,-199.16,18.281,0
1.8,206.17,230.74,0,32.02,-2.939,0,-199.16,18.281,0
1.82,206.77,230.68,0,28.036,-2.5734,0,-199.16,18.281,0
1.84,207.29,230.63,0,24.053,-2.2078,0,-199.16,18.281,0
1.86,207.73,230.59,0,20.07,-1.8422,0,-199.16,18.281,0
1.88,208.09,230.56,0,16.087,-1.4765,0,-199.16,18.281,0
1.9,208.37,230.53,0,12.103,-1.1109,0,-199.16,18.281,0
1.92,208.58,230.52,0,8.1201,-0.74532,0,-199.16,18.281,0
1.94,208.7,230.5,0,4.1368,-0.37971,0,-199.16,18.281,0
1.96,208.74,230.5,0,0.15359,-0.014098,0,-199.16,18.281,0
1.9608,208.75,230.5,0,0,-0,0,-199.16,18.281,0
