time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,72.57,274.5,-15,-0,-0,0,-89.443,-44.721,0
0.04,72.498,274.46,-15,-3.5777,-1.7889,0,-89.443,-44.721,0
0.08,72.284,274.36,-15,-7.1554,-3.5777,0,-89.443,-44.721,0
0.12,71.926,274.18,-15,-10.733,-5.3666,0,-89.443,-44.721,0
0.16,71.425,273.93,-15,-14.311,-7.1554,0,-89.443,-44.721,0
0.2,70.781,273.61,-15,-17.889,-8.9443,0,-89.443,-44.721,0
0.24,69.994,273.21,-15,-21.466,-10.733,0,-89.443,-44.721,0
0.28,69.064,272.75,-15,-25.044,-12.522,0,-89.443,-44.721,0
0.32,67.991,272.21,-15,-28.622,-14.311,0,-89.443,-44.721,0
0.36,66.774,271.6,-15,-32.199,-16.1,0,-89.443,-44.721,0
0.4,65.415,270.92,-15,-35.777,-17.889,0,-89.443,-44.721,0
0.44,63.912,270.17,-15,-39.355,-19.677,0,-89.443,-44.721,0
0.48,62.266,269.35,-15,-42.933,-21.466,0,-89.443,-44.721,0
0.52,60.477,268.45,-15,-46.51,-23.255,0,-89.443,-44.721,0
0.56,58.545,267.49,-15,-50.088,-25.044,0,-89.443,-44.721,0
0.6,56.47,266.45,-15,-53.666,-26.833,0,-89.443,-44.721,0
0.64,54.252,265.34,-15,-57.243,-28.622,0,-89.443,-44.721,0
0.68,51.891,264.16,-15,-60.821,-30.411,0,-89.443,-44.721,0
0.72,49.386,262.91,-15,-64.399,-32.199,0,-89.443,-44.721,0
0.76,46.901,261.67,-15,-59.888,-29.944,0,125.22,62.61,0
0.8,44.605,260.52,-15,-54.88,-27.44,0,125.22,62.61,0
0.84,42.51,259.47,-15,-49.871,-24.935,0,125.22,62.61,0
0.88,40.616,258.52,-15,-44.862,-22.431,0,125.22,62.61,0
0.92,38.921,257.68,-15,-39.853,-19.927,0,125.22,62.61,0
0.96,37.427,256.93,-15,-34.844,-17.422,0,125.22,62.61,0
1,36.134,256.28,-15,-29.836,-14.918,0,125.22,62.61,0
1.04,35.041,255.74,-15,-24.827,-12.413,0,125.22,62.61,0
1.08,34.148,255.29,-15,-19.818,-9.909,0,125.22,62.61,0
1.12,33.455,254.94,-15,-14.809,-7.4046,0,125.22,62.61,0
1.16,32.963,254.7,-15,-9.8005,-4.9003,0,125.22,62.61,0
1.2,32.671,254.55,-15,-4.7917,-2.3959,0,125.22,62.61,0
1.2383,32.57,254.5,-15,-0,-0,0,125.22,62.61,0
