time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,46.44,19.5,0,0,0,0,0,100,0
0.04,46.44,19.58,0,0,4,0,0,100,0
0.08,46.44,19.82,0,0,8,0,0,100,0
0.12,46.44,20.22,0,0,12,0,0,100,0
0.16,46.44,20.78,0,0,16,0,0,100,0
0.2,46.44,21.5,0,0,20,0,0,100,0
0.24,46.44,22.38,0,0,24,0,0,100,0
0.28,46.44,23.42,0,0,28,0,0,100,0
0.32,46.44,24.62,0,0,32,0,0,100,0
0.36,46.44,25.98,0,0,36,0,0,100,0
0.4,46.44,27.5,0,0,40,0,0,100,0
0.44,46.44,29.18,0,0,44,0,0,100,0
0.48,46.44,31.02,0,0,48,0,0,100,0
0.52,46.44,33.02,0,0,52,0,0,100,0
0.56,46.44,35.18,0,0,56,0,0,100,0
0.6,46.44,37.5,0,0,60,0,0,100,0
0.64,46.44,39.98,0,0,64,0,0,100,0
0.68,46.44,42.62,0,0,68,0,0,100,0
0.72,46.44,45.42,0,0,72,0,0,100,0
0.76,46.44,48.38,0,0,76,0,0,100,0
0.8,46.44,51.5,0,0,80,0,0,100,0
0.84,46.44,54.78,0,0,84,0,0,100,0
0.88,46.44,58.22,0,0,88,0,0,100,0
0.92,46.44,61.78,0,0,90,0,0,0,0
0.96,46.44,65.38,0,0,90,0,0,0,0
1,46.44,68.98,0,0,90,0,0,0,0
1.04,46.44,72.58,0,0,90,0,0,0,0
1.08,46.44,76.18,0,0,90,0,0,0,0
1.12,46.44,79.78,0,0,90,0,0,0,0
1.16,46.44,83.38,0,0,90,0,0,0,0
1.2,46.44,86.98,0,0,90,0,0,0,0
1.24,46.44,90.58,0,0,90,0,0,0,0
1.28,46.44,94.18,0,0,90,0,0,0,0
1.32,46.44,97.78,0,0,90,0,0,0,0
1.36,46.44,101.38,0,0,90,0,0,0,0
1.4,46.44,104.98,0,0,90,0,0,0,0
1.44,46.44,108.58,0,0,90,0,0,0,0
1.48,46.44,112.18,0,0,90,0,0,0,0
1.52,46.44,115.78,0,0,90,0,0,0,0
1.56,46.44,119.38,0,0,90,0,0,0,0
1.6,46.44,122.98,0,0,90,0,0,0,0
1.64,46.44,126.58,0,0,90,0,0,0,0
1.68,46.44,130.18,0,0,90,0,0,0,0
1.72,46.44,133.78,0,0,90,0,0,0,0
1.76,46.44,137.38,0,0,90,0,0,0,0
1.8,46.44,140.98,0,0,90,0,0,0,0
1.84,46.44,144.58,0,0,90,0,0,0,0
1.88,46.44,148.18,0,0,90,0,0,0,0
1.92,46.44,151.78,0,0,90,0,0,0,0
1.96,46.44,155.38,0,0,90,0,0,0,0
2,46.44,158.98,0,0,90,0,0,0,0
2.04,46.44,162.58,0,0,90,0,0,0,0
2.08,46.44,166.18,0,0,90,0,0,0,0
2.12,46.44,169.78,0,0,90,0,0,0,0
2.16,46.44,173.38,0,0,90,0,0,0,0
2.2,46.44,176.98,0,0,90,0,0,0,0
2.24,46.44,180.58,0,0,90,0,0,0,0
2.28,46.44,184.18,0,0,90,0,0,0,0
2.32,46.44,187.78,0,0,90,0,0,0,0
2.36,46.44,191.38,0,0,90,0,0,0,0
2.4,46.44,194.98,0,0,90,0,0,0,0
2.44,46.44,198.58,0,0,90,0,0,0,0
2.48,46.599,202.18,0,7.0613,89.723,0,0,0,0
2.52,47.115,205.74,0,18.251,88.13,0,0,0,0
2.56,47.982,209.23,0,26.464,86.021,0,0,0,0
2.6,49.19,212.62,0,34.442,83.149,0,0,0,0
2.64,50.716,215.85,0,41.524,78.425,0,-18.717,-35.351,0
2.68,52.521,218.87,0,47.842,72.832,0,-21.961,-33.432,0
2.72,54.57,221.64,0,53.483,66.758,0,-25.01,-31.217,0
2.76,56.83,224.17,0,58.415,60.279,0,-27.837,-28.725,0
2.8,59.267,226.43,0,62.612,53.476,0,-30.416,-25.978,0
2.84,61.848,228.42,0,66.057,46.426,0,-32.726,-23,0
2.88,64.542,230.14,0,68.743,39.211,0,-34.745,-19.818,0
2.92,67.319,231.59,0,70.67,31.909,0,-36.456,-16.461,0
2.96,70.152,232.77,0,71.038,26.843,0,-37.418,-14.139,0
3,73.013,233.69,0,71.705,19.616,0,-38.582,-10.555,0
3.04,75.876,234.36,0,71.657,12.506,0,-39.404,-6.8772,0
3.08,78.722,234.78,0,70.71,7.8065,0,-39.758,-4.3894,0
3.12,81.527,234.98,0,69.531,1.0923,0,-39.995,-0.62829,0
3.16,84.277,235,0,67.94,0,0,-40,-0,0
3.2,86.962,235,0,66.34,0,0,-40,-0,0
3.24,89.584,235,0,64.74,0,0,-40,-0,0
3.28,92.142,235,0,63.14,0,0,-40,-0,0
3.32,94.635,235,0,61.54,0,0,-40,-0,0
3.36,97.065,235,0,59.94,0,0,-40,-0,0
3.4,99.43,235,0,58.34,0,0,-40,-0,0
3.44,101.73,235,0,56.74,0,0,-40,-0,0
3.48,103.97,235,0,55.14,0,0,-40,-0,0
3.52,106.14,235,0,53.54,0,0,-40,-0,0
3.56,108.25,235,0,51.94,0,0,-40,-0,0
3.6,110.3,235,0,50.34,0,0,-40,-0,0
3.64,112.28,235,0,48.74,0,0,-40,-0,0
3.68,114.2,235,0,47.14,0,0,-40,-0,0
3.72,116.05,235,0,45.54,0,0,-40,-0,0
3.76,117.84,235,0,43.94,0,0,-40,-0,0
3.8,119.57,235,0,42.34,0,0,-40,-0,0
3.84,121.23,235,0,40.74,0,0,-40,-0,0
3.88,122.83,235,0,39.14,0,0,-40,-0,0
3.92,124.36,235,0,37.54,0,0,-40,-0,0
3.96,125.83,235,0,35.94,0,0,-40,-0,0
4,127.23,235,0,34.34,0,0,-40,-0,0
