time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,0,0,0,0,0,0,0,100,0
0.02,0,0.02,0,0,2,0,0,100,0
0.04,0,0.08,0,0,4,0,0,100,0
0.06,0,0.18,0,0,6,0,0,100,0
0.08,0,0.32,0,0,8,0,0,100,0
0.1,0,0.5,0,0,10,0,0,100,0
0.12,0,0.72,0,0,12,0,0,100,0
0.14,0,0.98,0,0,14,0,0,100,0
0.16,0,1.28,0,0,16,0,0,100,0
0.18,0,1.62,0,0,18,0,0,100,0
0.2,0,2,0,0,20,0,0,100,0
0.22,0,2.42,0,0,22,0,0,100,0
0.24,0,2.88,0,0,24,0,0,100,0
0.26,0,3.38,0,0,26,0,0,100,0
0.28,0,3.92,0,0,28,0,0,100,0
0.3,0,4.5,0,0,30,0,0,100,0
0.32,0,5.12,0,0,32,0,0,100,0
0.34,0,5.78,0,0,34,0,0,100,0
0.36,0,6.48,0,0,36,0,0,100,0
0.38,0,7.22,0,0,38,0,0,100,0
0.4,0,8,0,0,40,0,0,100,0
0.42,0,8.82,0,0,42,0,0,100,0
0.44,0,9.68,0,0,44,0,0,100,0
0.46,0,10.58,0,0,46,0,0,100,0
0.48,0,11.52,0,0,48,0,0,100,0
0.5,0,12.5,0,0,50,0,0,100,0
0.52,0,13.52,0,0,52,0,0,100,0
0.54,0,14.58,0,0,54,0,0,100,0
0.56,0,15.68,0,0,56,0,0,100,0
0.58,0,16.82,0,0,58,0,0,100,0
0.6,0,18,0,0,60,0,0,100,0
0.62,0,19.22,0,0,62,0,0,100,0
0.64,0,20.48,0,0,64,0,0,100,0
0.66,0,21.78,0,0,66,0,0,100,0
0.68,0,23.12,0,0,68,0,0,100,0
0.7,0,24.5,0,0,70,0,0,100,0
0.72,0,25.92,0,0,72,0,0,100,0
0.74,0,27.38,0,0,74,0,0,100,0
0.76,0,28.88,0,0,76,0,0,100,0
0.78,0,30.42,0,0,78,0,0,100,0
0.8,0,32,0,0,80,0,0,100,0
0.82,0,33.62,0,0,82,0,0,100,0
0.84,0,35.28,0,0,84,0,0,100,0
0.86,0,36.98,0,0,86,0,0,100,0
0.88,0,38.72,0,0,88,0,0,100,0
0.9,0,40.5,0,0,90,0,0,20,0
0.92,0,42.304,0,0,90.4,0,0,20,0
0.94,0,44.116,0,0,90.8,0,0,20,0
0.96,0,45.936,0,0,91.2,0,0,20,0
0.98,0,47.764,0,0,91.6,0,0,20,0
1,0,49.6,0,0,92,0,0,20,0
1.02,0,51.444,0,0,92.4,0,0,20,0
1.04,0,53.296,0,0,92.8,0,0,20,0
1.06,0,55.156,0,0,93.2,0,0,20,0
1.08,0,57.024,0,0,93.6,0,0,20,0
1.1,0,58.9,0,0,94,0,0,20,0
1.12,0,60.784,0,0,94.4,0,0,20,0
1.14,0,62.676,0,0,94.8,0,0,20,0
1.16,0,64.576,0,0,95.2,0,0,20,0
1.18,0,66.484,0,0,95.6,0,0,20,0
1.2,0,68.4,0,0,96,0,0,20,0
1.22,0,70.324,0,0,96.4,0,0,20,0
1.24,0,72.256,0,0,96.8,0,0,20,0
1.26,0,74.196,0,0,97.2,0,0,20,0
1.28,0,76.144,0,0,97.6,0,0,20,0
1.3,0,78.057,0,0,93.685,0,-0,-200,0
1.32,0,79.891,0,0,89.685,0,-0,-200,0
1.34,0,81.644,0,0,85.685,0,-0,-200,0
1.36,0,83.318,0,0,81.685,0,-0,-200,0
1.38,0,84.912,0,0,77.685,0,-0,-200,0
1.4,0,86.425,0,0,73.685,0,-0,-200,0
1.42,0,87.859,0,0,69.685,0,-0,-200,0
1.44,0,89.213,0,0,65.685,0,-0,-200,0
1.46,0,90.486,0,0,61.685,0,-0,-200,0
1.48,0,91.68,0,0,57.685,0,-0,-200,0
1.5,0,92.794,0,0,53.685,0,-0,-200,0
1.52,0,93.828,0,0,49.685,0,-0,-200,0
1.54,0,94.781,0,0,45.685,0,-0,-200,0
1.56,0,95.655,0,0,41.685,0,-0,-200,0
1.58,0,96.449,0,0,37.685,0,-0,-200,0
1.6,0,97.162,0,0,33.685,0,-0,-200,0
1.62,0,97.796,0,0,29.685,0,-0,-200,0
1.64,0,98.35,0,0,25.685,0,-0,-200,0
1.66,0,98.824,0,0,21.685,0,-0,-200,0
1.68,0,99.217,0,0,17.685,0,-0,-200,0
1.7,0,99.531,0,0,13.685,0,-0,-200,0
1.72,0,99.765,0,0,9.6852,0,-0,-200,0
1.74,0,99.918,0,0,5.6852,0,-0,-200,0
1.76,0,99.992,0,0,1.6852,0,-0,-200,0
1.7684,0,100,0,0,0,0,-0,-200,0
