time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,72.57,274.5,-15,0,-0,0,0,-100,0
0.04,72.57,274.42,-14.118,0,-4,22.059,0,-100,0
0.08,72.57,274.18,-13.235,0,-8,22.059,0,-100,0
0.12,72.57,273.78,-12.353,0,-12,22.059,0,-100,0
0.16,72.57,273.22,-11.471,0,-16,22.059,0,-100,0
0.2,72.57,272.5,-10.588,0,-20,22.059,0,-100,0
0.24,72.57,271.62,-9.7059,0,-24,22.059,0,-100,0
0.28,72.57,270.58,-8.8235,0,-28,22.059,0,-100,0
0.32,72.57,269.38,-7.9412,0,-32,22.059,0,-100,0
0.36,72.57,268.02,-7.0588,0,-36,22.059,0,-100,0
0.4,72.57,266.5,-6.1765,0,-40,22.059,0,-100,0
0.44,72.57,264.82,-5.2941,0,-44,22.059,0,-100,0
0.48,72.57,262.98,-4.4118,0,-48,22.059,0,-100,0
0.52,72.57,260.98,-3.5294,0,-52,22.059,0,-100,0
0.56,72.648,258.82,-2.6471,6.4031,-55.633,22.059,11.434,-99.344,0
0.6,73.095,256.55,-1.7647,16.483,-57.692,22.059,27.472,-96.153,0
0.64,74,254.24,-0.88235,29.255,-56.922,22.059,45.711,-88.941,0
0.68,75.414,252.02,4.885e-15,42.29,-53.25,22.059,62.191,-78.309,0
0.72,77.36,250.01,4.885e-15,54.921,-46.558,0,76.28,-64.664,0
0.76,79.823,248.38,4.885e-15,67.621,-34.689,0,88.976,-45.644,0
0.8,82.74,247.3,4.885e-15,77.615,-19.389,0,97.019,-24.236,0
0.84,85.989,246.92,4.885e-15,83.988,1.4382,0,99.985,1.7122,0
0.88,89.422,247.12,4.885e-15,87.807,5.8243,0,99.781,6.6185,0
0.92,92.983,247.35,4.885e-15,90.202,5.9831,0,19.956,1.3237,0
0.96,96.607,247.59,4.885e-15,91,6.0361,0,19.956,1.3237,0
1,100.26,247.84,4.885e-15,91.798,6.089,0,19.956,1.3237,0
1.04,103.95,248.08,4.885e-15,92.597,6.142,0,19.956,1.3237,0
1.08,107.62,248.32,4.885e-15,90.903,6.0297,0,-79.825,-5.2948,0
1.12,111.19,248.56,4.885e-15,87.71,5.8179,0,-79.825,-5.2948,0
1.16,114.64,248.79,4.885e-15,84.517,5.6061,0,-79.825,-5.2948,0
1.2,117.95,249.01,4.885e-15,81.324,5.3943,0,-79.825,-5.2948,0
1.24,121.14,249.22,4.885e-15,78.131,5.1825,0,-79.825,-5.2948,0
1.28,124.2,249.42,4.885e-15,74.938,4.9707,0,-79.825,-5.2948,0
1.32,127.14,249.62,4.885e-15,71.745,4.7589,0,-79.825,-5.2948,0
1.36,129.94,249.81,4.885e-15,68.552,4.5471,0,-79.825,-5.2948,0
1.4,132.62,249.98,4.885e-15,65.359,4.3353,0,-79.825,-5.2948,0
1.44,135.17,250.15,4.885e-15,62.166,4.1235,0,-79.825,-5.2948,0
1.48,137.6,250.31,4.885e-15,58.973,3.9117,0,-79.825,-5.2948,0
1.52,139.89,250.47,4.885e-15,55.78,3.6999,0,-79.825,-5.2948,0
1.56,142.06,250.43,4.885e-15,52.138,-7.6976,0,-79.142,11.684,0
1.6,144,249.81,4.885e-15,44.761,-21.141,0,-72.338,34.165,0
1.64,145.59,248.75,4.885e-15,34.321,-31.081,0,-59.298,53.701,0
1.68,146.76,247.41,4.885e-15,24.54,-35.435,0,-45.547,65.768,0
1.72,147.51,245.93,4.885e-15,13.449,-37.568,0,-26.964,75.319,0
1.76,147.88,244.45,4.885e-15,5.388,-36.305,0,-11.744,79.133,0
1.8,147.95,243.05,4.885e-15,0,-33.503,0,-0,80,0
1.84,147.95,241.77,4.885e-15,0,-30.303,0,-0,80,0
1.88,147.95,240.63,4.885e-15,0,-27.103,0,-0,80,0
1.92,147.95,239.61,4.885e-15,0,-23.903,0,-0,80,0
1.96,147.95,238.71,4.885e-15,0,-20.703,0,-0,80,0
2,147.95,237.95,4.885e-15,0,-17.503,0,-0,80,0
2.04,147.95,237.31,4.885e-15,0,-14.303,0,-0,80,0
2.08,147.95,236.81,4.885e-15,0,-11.103,0,-0,80,0
2.12,147.95,236.43,4.885e-15,0,-7.9028,0,-0,80,0
2.16,147.95,236.17,4.885e-15,0,-4.7028,0,-0,80,0
2.2,147.95,236.05,4.885e-15,0,-1.5028,0,-0,80,0
2.2188,147.95,236,4.885e-15,0,-0,0,-0,80,0
