time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,105.25,215.5,-180,0,0,0,0,100,0
0.04,105.25,215.58,-180,0,4,0,0,100,0
0.08,105.25,215.82,-180,0,8,0,0,100,0
0.12,105.25,216.22,-180,0,12,0,0,100,0
0.16,105.25,216.78,-180,0,16,0,0,100,0
0.2,105.25,217.5,-180,0,20,0,0,100,0
0.24,105.25,218.38,-180,0,24,0,0,100,0
0.28,105.25,219.42,-180,0,28,0,0,100,0
0.32,105.25,220.62,-180,0,32,0,0,100,0
0.36,105.25,221.98,-180,0,36,0,0,100,0
0.4,105.25,223.5,-180,0,40,0,0,100,0
0.44,105.25,225.18,-180,0,44,0,0,100,0
0.48,105.25,227.02,-180,0,48,0,0,100,0
0.52,105.25,229.02,-180,0,52,0,0,100,0
0.56,105.25,231.18,-180,0,56,0,0,100,0
0.6,105.25,233.5,-180,0,60,0,0,100,0
0.64,105.25,235.98,-180,0,64,0,0,100,0
0.68,105.25,238.62,-180,0,68,0,0,100,0
0.72,105.75,241.36,-180,25.45,67.352,0,35.347,93.544,0
0.76,107.35,243.82,-180,52.889,54.578,0,69.591,71.813,0
0.8,109.77,245.45,-180,65.57,27.16,0,-129.34,-53.576,0
0.84,112.43,246,-180,65.365,1.0268,0,-139.98,-2.199,0
0.88,114.93,246,-180,59.765,-0.93887,0,-139.98,2.199,0
0.92,117.13,245.45,-180,47.876,-25.349,0,-123.73,65.51,0
0.96,118.71,244.17,-180,30.37,-37.908,0,-87.534,109.26,0
1,119.59,242.58,-180,13.92,-40.656,0,-45.348,132.45,0
1.04,119.85,241,-180,0,-37.373,0,-0,140,0
1.08,119.85,239.62,-180,0,-31.773,0,-0,140,0
1.12,119.85,238.46,-180,0,-26.173,0,-0,140,0
1.16,119.85,237.52,-180,0,-20.573,0,-0,140,0
1.2,119.85,236.81,-180,0,-14.973,0,-0,140,0
1.24,119.85,236.32,-180,0,-9.3728,0,-0,140,0
1.28,119.85,236.06,-180,0,-3.7728,0,-0,140,0
1.3069,119.85,236,-180,0,-0,0,-0,140,0
