time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,46.44,19.5,0,0,0,0,0,100,0
0.04,46.44,19.58,0,0,4,0,0,100,0
0.08,46.44,19.82,0,0,8,0,0,100,0
0.12,46.44,20.22,0,0,12,0,0,100,0
0.16,46.44,20.78,0,0,16,0,0,100,0
0.2,46.44,21.5,0,0,20,0,0,100,0
0.24,46.44,22.38,0,0,24,0,0,100,0
0.28,46.44,23.42,0,0,28,0,0,100,0
0.32,46.44,24.62,0,0,32,0,0,100,0
0.36,46.44,25.98,0,0,36,0,0,100,0
0.4,46.44,27.5,0,0,40,0,0,100,0
0.44,46.44,29.18,0,0,44,0,0,100,0
0.48,46.44,31.02,0,0,48,0,0,100,0
0.52,46.44,33.02,0,0,52,0,0,100,0
0.56,46.44,35.18,0,0,56,0,0,100,0
0.6,46.44,37.5,0,0,60,0,0,100,0
0.64,46.44,39.98,0,0,64,0,0,100,0
0.68,46.44,42.62,0,0,68,0,0,100,0
0.72,46.44,45.42,0,0,72,0,0,100,0
0.76,46.44,48.38,0,0,76,0,0,100,0
0.8,46.44,51.5,0,0,80,0,0,100,0
0.84,46.44,54.78,0,0,84,0,0,100,0
0.88,46.44,58.22,0,0,88,0,0,100,0
0.92,46.44,61.78,0,0,90,0,0,0,0
0.96,46.44,65.38,0,0,90,0,0,0,0
1,46.44,68.98,0,0,90,0,0,0,0
1.04,46.44,72.58,0,0,90,0,0,0,0
1.08,46.44,76.18,0,0,90,0,0,0,0
1.12,46.44,79.78,0,0,90,0,0,0,0
1.16,46.44,83.38,0,0,90,0,0,0,0
1.2,46.44,86.98,0,0,90,0,0,0,0
1.24,46.44,90.58,0,0,90,0,0,0,0
1.28,46.44,94.18,0,0,90,0,0,0,0
1.32,46.44,97.78,0,0,90,0,0,0,0
1.36,46.44,101.38,0,0,90,0,0,0,0
1.4,46.44,104.98,0,0,90,0,0,0,0
1.44,46.44,108.58,0,0,90,0,0,0,0
1.48,46.44,112.18,0,0,90,0,0,0,0
1.52,46.44,115.78,0,0,90,0,0,0,0
1.56,46.44,119.38,0,0,90,0,0,0,0
1.6,46.44,122.98,0,0,90,0,0,0,0
1.64,46.44,126.58,0,0,90,0,0,0,0
1.68,46.44,130.18,0,0,90,0,0,0,0
1.72,46.44,133.78,0,0,90,0,0,0,0
1.76,46.44,137.38,0,0,90,0,0,0,0
1.8,46.44,140.98,0,0,90,0,0,0,0
1.84,46.44,144.58,0,0,90,0,0,0,0
1.88,46.44,148.18,0,0,90,0,0,0,0
1.92,46.44,151.78,0,0,90,0,0,0,0
1.96,46.44,155.38,0,0,90,0,0,0,0
2,46.44,158.98,0,0,90,0,0,0,0
2.04,46.44,162.58,0,0,90,0,0,0,0
2.08,46.44,166.18,0,0,90,0,0,0,0
2.12,46.44,169.78,0,0,90,0,0,0,0
2.16,46.44,173.38,0,0,90,0,0,0,0
2.2,46.44,176.98,0,0,90,0,0,0,0
2.24,46.44,180.58,0,0,90,0,0,0,0
2.28,46.44,184.18,0,0,90,0,0,0,0
2.32,46.44,187.78,0,0,90,0,0,0,0
2.36,46.44,191.38,0,0,90,0,0,0,0
2.4,46.44,194.98,0,0,90,0,0,0,0
2.44,46.44,198.58,0,0,90,0,0,0,0
2.48,46.599,202.18,0,7.0613,89.723,0,0,0,0
2.52,47.115,205.74,0,18.251,88.13,0,0,0,0
2.56,47.982,209.23,0,26.464,86.021,0,0,0,0
2.6,49.19,212.62,0,34.442,83.149,0,0,0,0
2.64,50.728,215.87,0,42.114,79.539,0,0,0,0
2.68,52.58,218.96,0,49.412,75.223,0,0,0,0
2.72,54.729,221.84,0,56.272,70.239,0,0,0,0
2.76,57.156,224.5,0,64.631,62.632,0,0,0,0
2.8,59.835,226.9,0,70.239,56.272,0,0,0,0
2.84,62.739,229.03,0,75.223,49.412,0,0,0,0
2.88,65.838,230.85,0,79.539,42.114,0,0,0,0
2.92,69.104,232.37,0,83.149,34.442,0,0,0,0
2.96,72.503,233.55,0,86.021,26.464,0,0,0,0
3,76.003,234.38,0,88.66,15.474,0,0,0,0
3.04,79.569,234.86,0,89.723,7.0613,0,0,0,0
3.08,83.165,235,0,90,0,0,0,0,0
3.12,86.765,235,0,90,0,0,0,0,0
3.16,90.365,235,0,90,0,0,0,0,0
3.2,93.965,235,0,90,0,0,0,0,0
3.24,97.565,235,0,90,0,0,0,0,0
3.28,101.17,235,0,90,0,0,0,0,0
3.32,104.77,235,0,90,0,0,0,0,0
3.36,108.37,235,0,90,0,0,0,0,0
3.4,111.97,235,0,90,0,0,0,0,0
3.44,115.57,235,0,90,0,0,0,0,0
3.48,119.17,235,0,90,0,0,0,0,0
3.52,122.77,235,0,90,0,0,0,0,0
3.56,126.37,235,0,90,0,0,0,0,0
3.6,129.97,235,0,90,0,0,0,0,0
3.64,133.57,235,0,90,0,0,0,0,0
3.68,137.17,235,0,90,0,0,0,0,0
3.72,140.77,235,0,90,0,0,0,0,0
3.76,144.37,235,0,90,0,0,0,0,0
3.8,147.97,235,0,90,0,0,0,0,0
3.84,151.57,235,0,90,0,0,0,0,0
3.88,155.17,235,0,90,0,0,0,0,0
3.92,158.77,235,0,90,0,0,0,0,0
3.96,162.37,235,0,90,0,0,0,0,0
4,165.97,235,0,90,0,0,0,0,0
4.04,169.57,235,0,90,0,0,0,0,0
4.08,173.17,235,0,90,0,0,0,0,0
4.12,176.77,235,0,90,0,0,0,0,0
4.16,180.36,235,0,89.919,0,0,-40,-0,0
4.2,183.93,235,0,88.319,0,0,-40,-0,0
4.24,187.43,235,0,86.719,0,0,-40,-0,0
4.28,190.87,235,0,85.119,0,0,-40,-0,0
