time,xPos,yPos,yaw,xVel,yVel,yawRate,xAccel,yAccel,yawAccel
0,119.85,239,0,0,-0,0,99.546,-9.5179,0
0.04,119.93,238.99,0,3.9818,-0.38072,0,99.546,-9.5179,0
0.08,120.17,238.97,0,7.9637,-0.76143,0,99.546,-9.5179,0
0.12,120.57,238.93,0,11.946,-1.1421,0,99.546,-9.5179,0
0.16,121.12,238.88,0,15.927,-1.5229,0,99.546,-9.5179,0
0.2,121.84,238.81,0,19.909,-1.9036,0,99.546,-9.5179,0
0.24,122.72,238.73,0,23.891,-2.2843,0,99.546,-9.5179,0
0.28,123.75,238.63,0,27.873,-2.665,0,99.546,-9.5179,0
0.32,124.95,238.51,0,31.855,-3.0457,0,99.546,-9.5179,0
0.36,126.3,238.38,0,35.837,-3.4264,0,99.546,-9.5179,0
0.4,127.81,238.24,0,39.818,-3.8072,0,99.546,-9.5179,0
0.44,129.49,238.08,0,43.8,-4.1879,0,99.546,-9.5179,0
0.48,131.32,237.9,0,47.782,-4.5686,0,99.546,-9.5179,0
0.52,133.31,237.71,0,51.764,-4.9493,0,99.546,-9.5179,0
0.56,135.46,237.51,0,55.746,-5.33,0,99.546,-9.5179,0
0.6,137.77,237.29,0,59.728,-5.7107,0,99.546,-9.5179,0
0.64,140.24,237.05,0,63.709,-6.0915,0,99.546,-9.5179,0
0.68,142.87,236.8,0,67.691,-6.4722,0,99.546,-9.5179,0
0.72,145.65,236.53,0,71.673,-6.8529,0,99.546,-9.5179,0
0.76,148.6,236.25,0,75.655,-7.2336,0,99.546,-9.5179,0
0.8,151.7,235.95,0,79.637,-7.6143,0,99.546,-9.5179,0
0.84,154.97,235.64,0,83.619,-7.995,0,99.546,-9.5179,0
0.88,158.39,235.31,0,87.6,-8.3758,0,99.546,-9.5179,0
0.92,161.95,234.98,0,89.99,-8.6042,0,19.909,-1.9036,0
0.96,165.56,234.63,0,90.786,-8.6803,0,19.909,-1.9036,0
1,169.21,234.28,0,91.582,-8.7565,0,19.909,-1.9036,0
1.04,172.89,233.93,0,92.379,-8.8326,0,19.909,-1.9036,0
1.08,176.6,233.57,0,93.175,-8.9088,0,19.909,-1.9036,0
1.12,180.24,233.23,0,89.076,-8.5169,0,-139.36,13.325,0
1.16,183.7,232.9,0,83.502,-7.9839,0,-139.36,13.325,0
1.2,186.92,232.59,0,77.927,-7.4509,0,-139.36,13.325,0
1.24,189.93,232.3,0,72.353,-6.9179,0,-139.36,13.325,0
1.28,192.71,232.03,0,66.778,-6.3849,0,-139.36,13.325,0
1.32,195.27,231.79,0,61.204,-5.8519,0,-139.36,13.325,0
1.36,197.61,231.57,0,55.629,-5.3189,0,-139.36,13.325,0
1.4,199.72,231.36,0,50.054,-4.7859,0,-139.36,13.325,0
1.44,201.61,231.18,0,44.48,-4.2529,0,-139.36,13.325,0
1.48,203.28,231.02,0,38.905,-3.7199,0,-139.36,13.325,0
1.52,204.73,230.88,0,33.331,-3.1869,0,-139.36,13.325,0
1.56,205.95,230.77,0,27.756,-2.6538,0,-139.36,13.325,0
1.6,206.95,230.67,0,22.182,-2.1208,0,-139.36,13.325,0
1.64,207.72,230.6,0,16.607,-1.5878,0,-139.36,13.325,0
1.68,208.27,230.55,0,11.032,-1.0548,0,-139.36,13.325,0
1.72,208.6,230.51,0,5.4578,-0.52184,0,-139.36,13.325,0
1.7592,208.75,230.5,0,0,-0,0,-139.36,13.325,0
