time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos, cube x, cube y, cube deg
938530332,46.4,19.5,0,-0.966816,0.87925,-176.748,-178.066,5.02376,4.98487,-5.16374,-5.08597,-0,-0.0256348,0.0576782,0,23.1726,0.00865127,5,70.4338,0,
938562005,46.4,19.5,0,-1.05471,0.791359,-176.836,-178.066,5.02376,4.98487,-5.16374,-5.08597,0.15213,-0.0263672,0.0679321,0,23.1726,0.00865127,5,70.4338,0,
938610600,46.4,19.5,0,-1.05471,0.791359,-176.748,-178.066,5.02376,4.98487,-5.16374,-5.08597,0.15213,-0.03479,0.0421143,0,23.2154,0.00865127,5,70.4338,0,
938634338,46.4,19.5,0,-1.05471,0.791359,-176.836,-178.066,5.02376,4.98487,-5.16374,-5.08597,-0,-0.00732422,0.0320435,0,23.4512,0.0986244,5,70.4338,0,
938663055,46.4,19.5,0,-1.05471,0.791359,-176.836,-178.066,5.02376,4.98487,-5.16374,-5.08597,-0.760651,0.26001,0.251953,0,23.9228,0.174756,5,70.4338,0,
938711774,46.4,19.5,0.01,-1.05471,0.87925,-176.836,-178.066,5.02376,4.98487,-5.16374,-5.08597,-3.0426,-0.0706787,0.0913696,-0.01,24.373,0.610779,5,70.4338,0,
938743686,46.4,19.5,0.04,-1.05471,0.791359,-176.836,-178.066,5.02376,4.98487,-5.16374,-5.08597,-0.912781,-0.153625,-0.150879,-0.04,24.6302,1.14543,5,70.4338,0,
938774481,46.4,19.5,0.01,-1.05471,0.791359,-176.836,-178.066,5.02376,4.98487,-5.16374,-5.08597,-0.15213,-0.129822,0.0710449,-0.01,24.716,1.89117,5,70.4338,0,
938813593,46.4,19.5,4.65902e-18,-1.05471,0.791359,-176.836,-178.066,5.02376,4.98487,-5.16374,-5.08597,2.12982,0.320251,-0.0756226,-0.01,24.866,2.82377,5,70.4338,0,
938846373,46.4,19.5019,0.01,-1.05471,0.87925,-176.748,-178.066,5.01598,4.98487,-5.16374,-5.08597,-3.80325,0.164246,-0.012085,-0.01,25.3805,3.79791,5,70.4338,0,
938880349,46.4,19.5156,-0.03,-1.05471,0.791359,-176.836,-178.066,4.99265,4.95376,-5.16374,-5.08597,2.58621,0.202332,-0.0878906,0.03,25.4019,4.69072,5,70.4338,0,
938918129,46.4019,19.5836,-0.09,-1.05471,0.87925,-176.924,-178.066,4.96154,4.85267,-5.08597,-5.02376,0.45639,-0.129639,-0.159485,0.08,25.5734,5.49529,5,70.4338,0,
938958328,46.4034,19.6321,-0.1,-1.05471,0.791359,-176.836,-178.066,4.93043,4.79045,-4.99265,-5.01598,1.67343,-0.0272827,-0.0371704,0.1,25.6592,6.43135,5,70.4338,0,
938998815,46.409,19.7895,-0.09,-1.05471,0.87925,-176.924,-178.066,4.89933,4.56493,-4.69713,-4.93821,-2.28195,-0.10437,-0.0199585,0.07,25.6592,6.99541,5,70.4338,0,
939032553,46.4088,19.8283,-0.03,-1.05471,0.791359,-176.836,-178.066,4.78268,4.57271,-4.69713,-4.89155,-0.15213,-0.0507202,0.17157,0.03,25.6592,7.53179,5,70.4338,0,
939069610,46.4083,19.8789,-0.02,-1.05471,0.87925,-176.924,-178.066,4.60381,4.57271,-4.68936,-4.876,2.28195,-0.0640869,-0.191711,0.03,25.6592,8.08894,5,70.4338,0,
939116984,46.4095,19.9274,-0.05,-1.05471,0.87925,-176.836,-178.066,4.56493,4.56493,-4.6738,-4.74379,-1.21704,0.113159,-0.15033,0.05,25.6592,8.8416,5,70.4338,0,
939153510,46.4106,19.9605,-0.04,-1.05471,0.791359,-176.836,-178.154,4.55715,4.5416,-4.63492,-4.68158,-1.06491,-0.0941162,-0.111145,0.04,25.6592,9.38836,5,70.4338,0,
939192334,46.4112,19.9954,-0.06,-1.05471,0.791359,-176.836,-178.154,4.51827,4.50272,-4.61159,-4.6427,0.45639,0.534485,-0.0219727,0.08,25.6592,10.1306,5,70.4338,0,
939249607,46.4146,20.1606,-0.04,-0.966816,0.791359,-176.836,-178.154,4.34718,4.32385,-4.46383,-4.47939,-0.608521,0.595276,-0.593628,0.05,25.6592,11.0823,5,70.4338,0,
939281644,46.4182,20.353,-0.07,-0.703144,0.791359,-177.451,-178.242,4.13721,4.11388,-4.29274,-4.30052,1.21704,0.340027,-0.543091,0.07,25.6592,11.5027,5,70.4338,0,
939321416,46.4295,20.6657,-0.08,-0.615253,4.48277,-178.418,-178.242,3.88836,3.7717,-3.98168,-3.95057,-1.06491,-0.130005,-0.873047,0.08,25.6592,12.3402,5,70.4338,0,
939356685,46.4363,21.0446,-0.05,-0.439472,3.07652,179.648,-178.242,3.58506,3.46841,-3.54618,-3.47619,3.65112,0.286194,-1.02136,0.05,25.6592,12.9198,5,70.4338,0,
939391691,46.4428,21.4877,-0.12,-0.439472,2.19761,179.648,-178.242,3.11846,3.04847,-3.07958,-3.05625,7.45438,-0.00238037,-1.2486,0.12,25.6592,13.4648,5,70.4338,0,
939431229,46.4522,22.0397,-0.25,-0.439472,2.02183,179.648,-178.33,2.55854,2.47299,-2.52743,-2.53521,12.6268,-0.113892,-0.500977,0.3,25.6163,14.0358,5,70.4338,0,
939461935,46.4728,23.0989,-0.38,-0.439472,2.10972,179.648,-178.33,1.32204,1.27538,-1.602,-1.65644,15.8215,-0.523132,-0.97998,0.46,25.5091,14.6085,5,70.4338,0,
939497723,46.4985,24.1599,-0.66,-0.351581,2.10972,179.648,-178.33,0.357729,0.326622,-0.381059,-0.54437,13.3875,-0.161499,-0.692688,0.66,25.4448,15.1622,5,70.4338,0,
939546316,46.5385,25.5374,-0.94,-0.439472,2.02183,179.648,-178.242,-1.02653,-1.02653,1.04986,0.801001,26.1664,-0.0521851,-1.08307,1.06,25.3805,15.9218,5,70.4338,0,
939591567,46.6094,27.5577,-1.32,-0.439472,2.02183,179.648,-178.418,-3.10291,-3.12624,3.09513,2.66741,25.4057,-0.142273,-0.977051,1.48,25.3162,16.7091,5,70.4338,0,
939628406,46.674,29.1893,-1.62,-0.439472,1.84605,179.648,-178.418,-4.96154,-4.98487,4.55715,4.02056,17.7992,0.234558,-0.68042,1.76,25.3162,17.3043,5,70.4338,0,
939653393,46.7399,30.7897,-1.88,-0.439472,1.49448,179.648,-178.418,-6.50133,-6.50133,6.54799,5.38148,17.9514,0.0888062,-0.936218,2.02,25.2947,17.6936,5,70.4338,0,
939688191,46.8363,32.7488,-2.34,-0.439472,1.14292,179.648,-178.418,-8.79546,-8.24331,8.23554,7.50453,23.8844,-0.218079,-0.682617,2.34,25.2947,18.2646,5,70.4338,0,
939722822,46.9342,34.6825,-2.65,-0.439472,0.264016,179.648,-178.418,-10.6385,-10.6696,9.99307,9.22318,20.994,-0.163147,-1.11584,2.65,25.2947,18.8477,5,70.4338,0,
939768402,47.0454,36.7419,-2.98,-1.23049,0.264016,179.648,-178.418,-12.5827,-11.9684,12.5594,11.6651,20.8418,-0.792114,-1.56116,3.3,25.2947,19.6695,5,70.4338,0,
939809694,47.2046,39.6531,-3.46,-2.28517,-0.175438,179.648,-178.418,-15.4057,-15.4679,15.2657,14.3014,23.428,-0.61377,-0.151245,3.59,25.2947,20.4239,5,70.4338,0,
939849538,47.3563,42.5739,-3.85,-3.07619,-1.40591,179.561,-178.506,-18.3297,-18.4775,18.1975,17.1399,17.495,0.4953,-0.457031,3.97,25.2947,21.0018,5,70.4338,0,
939882619,47.489,45.2308,-4.11,-3.60353,-1.58169,179.648,-178.418,-21.4559,-21.4715,20.5072,19.3562,11.5619,0.624207,-0.181458,4.19,25.2947,21.5884,5,70.4338,0,
939906835,47.6499,48.0355,-4.34,-4.57033,-1.66958,179.648,-178.594,-23.8434,-24.03,23.6723,22.4902,14.1481,0.463257,-0.28363,4.43,25.2947,21.9569,5,70.4338,0,
939943621,47.764,50.9195,-4.62,-5.62502,-2.90005,179.561,-179.033,-27.1563,-27.4518,26.0287,24.9555,20.6897,0.204529,-0.057312,4.62,25.2947,22.4795,5,70.4338,0,
939989839,47.9179,54.6735,-4.79,-6.15236,-5.00942,179.561,-179.209,-30.5158,-30.9358,30.1892,28.9994,6.08521,-0.302307,0.385071,4.79,25.2947,22.9587,5,70.4338,0,
940023246,47.9952,57.3585,-4.83,-6.85549,-6.152,179.561,-179.297,-33.1443,-33.7043,32.7866,31.7679,-0.15213,0.524597,-0.00476074,4.83,25.2947,23.2131,5,70.4338,0,
940069307,48.1295,61.9019,-4.9,-6.85549,-6.23989,179.561,-179.297,-37.6159,-38.347,37.3127,36.3406,-3.34686,0.253235,-0.109863,4.9,25.2947,23.3913,5,70.4338,0,
940102119,48.1763,65.1961,-4.79,-7.91017,-6.23989,179.561,-179.297,-41.3565,-42.142,40.1201,39.2024,-19.3205,0.0673828,-0.0170288,4.75,25.4019,23.3982,5,70.4338,0,
940148548,48.2515,68.9899,-4.71,-7.82228,-6.76723,179.561,-179.209,-45.1516,-45.9992,43.8373,43.0441,-9.88846,0.359619,-0.351929,4.67,25.5734,23.3982,5,70.4338,0,
940177510,48.3152,72.8991,-4.69,-7.82228,-6.76723,179.473,-179.736,-49.0166,-50.0898,47.6012,46.9947,-18.5599,-0.328491,-0.0585938,4.59,25.6592,23.3982,5,70.4338,0,
940212385,48.3918,76.389,-4.45,-7.82228,-6.76723,179.561,-179.736,-51.9095,-53.2627,51.3807,51.1396,-8.97568,0.429565,-0.27301,4.45,25.7663,23.3982,5,70.4338,0,
940246233,48.4152,78.4941,-4.2,-7.82228,-6.76723,179.561,-179.824,-53.9004,-55.3235,53.5349,53.3716,-25.8621,0.942993,-0.640869,4.2,25.8092,23.3982,5,70.4338,0,
940279797,48.4095,83.1006,-4.03,-7.73439,-6.76723,179.561,-179.736,-58.9164,-60.6817,57.4621,57.5321,-15.8215,-0.212585,-0.232727,4.03,25.8735,23.3982,5,70.4338,0,
940313115,48.4291,86.5196,-3.78,-7.73439,-6.76723,179.561,-179.824,-62.0504,-63.9012,61.646,60.6972,-13.996,-0.127441,-0.121948,3.69,25.8735,23.3982,5,70.4338,0,
940345222,48.4256,89.1896,-3.55,-7.73439,-6.76723,179.561,-179.736,-64.1734,-67.1986,63.7224,63.9012,-16.2779,-0.189514,-0.312744,3.44,25.8735,23.3982,5,70.4338,0,
940371200,48.3859,92.6043,-3.35,-7.73439,-6.76723,179.561,-179.824,-68.3184,-70.4648,66.8175,67.0819,-13.6917,-0.142639,0.246826,3.27,25.8735,23.3982,5,70.4338,0,
940401312,48.3575,95.9009,-3.17,-7.73439,-6.76723,179.561,-179.736,-71.5146,-73.8788,70.1226,70.3792,-18.5599,0.746155,-0.163147,3.17,25.8735,23.3982,5,70.4338,0,
940451184,48.3258,100.804,-2.91,-7.73439,-6.67934,179.561,-179.736,-75.8618,-78.3737,75.3485,75.9629,-6.08521,0.191162,0.414001,2.85,25.8735,23.3982,5,70.4338,0,
940479705,48.2239,104.734,-2.73,-7.73439,-6.76723,179.561,-179.824,-80.3334,-82.9542,78.5992,79.4158,-12.3225,-0.160217,0.11554,2.73,25.8735,23.3982,5,70.4338,0,
940523233,48.141,109.227,-2.58,-7.73439,-6.76723,179.561,-179.736,-84.7739,-87.4491,83.0397,84.0507,-6.99799,0.433228,0.0807495,2.55,25.8735,23.3982,5,70.4338,0,
940572527,48.0653,114.437,-2.41,-7.73439,-6.76723,179.473,-179.736,-89.2222,-92.1462,88.8956,89.9299,-3.19473,-0.11792,-0.741211,2.33,25.8735,23.3982,5,70.4338,0,
940605266,47.9766,117.944,-2.25,-7.6465,-6.85513,179.473,-179.736,-92.7139,-95.708,92.3562,93.4761,-26.4706,-1.09296,0.322632,2.25,25.8735,23.3982,5,70.4338,0,
940637400,47.822,122.724,-2.09,-7.73439,-6.76723,179.473,-179.736,-98.2743,-100.358,96.719,98.0721,-9.12781,0.596375,-0.0750732,2.09,25.8735,23.3982,5,70.4338,0,
940667747,47.753,125.921,-2.04,-7.73439,-6.76723,179.561,-179.736,-100.6,-103.811,100.288,101.541,-5.17242,-0.232727,-0.564331,2.04,25.8735,23.3982,5,70.4338,0,
