time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos, cube x, cube y, cube deg
390486088,46.4,19.5,0,-1.31838,-3.25161,179.648,2.6367,16.1522,16.0978,-16.1289,16.3155,-0,-0.0466919,0.0574951,0,19.9571,-0.00173025,28.9445,71.284,19.5892,
390539229,46.4,19.5,0,-1.31838,-3.25161,179.648,2.6367,16.1522,16.0978,-16.1289,16.3155,-0.45639,-0.0470581,0.0765381,0,20.0214,-0.00173025,5,70.4338,0,
390571911,46.4,19.5,0,-1.31838,-3.25161,179.648,2.6367,16.1522,16.0978,-16.1289,16.3155,-1.06491,0.0314941,-0.00274658,0,21.2219,0.0484471,5,70.4338,0,
390614918,46.4,19.5,0.13,-1.31838,-3.3395,179.648,2.6367,16.1522,16.0978,-16.1289,16.3155,-19.1684,-0.101807,0.585205,-0.19,23.3655,0.192058,5,70.4338,0,
390647254,46.4,19.5,0.19,-1.40627,-3.3395,179.736,2.72459,16.1522,16.0978,-16.1289,16.3155,19.4727,0.053833,-0.277588,-0.12,24.4159,0.467168,5,70.4338,0,
390688200,46.4,19.5,0,-1.40627,-3.25161,179.648,2.6367,16.1522,16.0978,-16.1289,16.3155,-3.80325,0.211121,0.275208,0,24.716,0.906653,5,70.4338,0,
390726180,46.4,19.5,0,-1.23049,-3.25161,179.648,2.72459,16.1522,16.0978,-16.1289,16.3155,0.45639,0.123413,0.117371,0.02,24.8232,1.79081,5,70.4338,0,
390780118,46.4,19.5078,-0.05,-1.40627,-3.25161,179.648,2.6367,16.1522,16.0822,-16.1289,16.3,18.712,0.181458,-0.661926,0.2,25.4662,2.9224,254.249,508.958,26.2711,
390820040,46.4001,19.5058,-0.25,-1.31838,-3.25161,179.648,2.6367,16.1522,16.0589,-16.1911,16.2689,-16.2779,0.711731,0.0723267,0.14,25.552,4.19933,5,70.4338,0,
390863302,46.3981,19.6184,-0.06,-1.40627,-3.25161,179.648,2.72459,16.1211,15.7712,-16.2378,16.09,-0.760651,-0.0726929,0.280151,0.07,25.5949,5.32053,232.568,465.035,26.2711,
390921183,46.3947,19.9272,-0.06,-1.40627,-3.25161,179.648,2.6367,15.8567,15.3279,-16.09,15.709,-4.86816,-0.30835,-0.266052,0.02,25.5949,6.50575,5,70.4338,0,
390970511,46.393,20.1624,0.05,-1.31838,-3.25161,179.648,2.6367,15.5612,15.2735,-15.6467,15.5612,11.5619,-0.339111,-0.531372,-0.01,25.5734,7.29994,-16831.6,-34721.8,25.8662,
391001921,46.3923,20.2188,-0.05,-1.23049,-3.3395,179.648,2.6367,15.5223,15.2501,-15.4834,15.5612,3.19473,-0.393311,0.5354,0.09,25.4019,7.81209,5,70.4338,0,
391043781,46.3919,20.277,-0.02,-1.31838,-3.25161,179.648,2.6367,15.4757,15.1879,-15.429,15.4912,-5.32455,0.401733,-0.167358,0,25.2947,8.34155,152.264,314.88,25.3469,
391076097,46.3917,20.3295,0.02,-1.31838,-2.02114,179.648,2.6367,15.4523,15.1179,-15.3746,15.429,-0.45639,0.281982,-0.232361,-0.02,25.2733,8.88831,5,70.4338,0,
