time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw
365624655,46.4,19.5,0,176.309,-1.14223,179.121,177.978,-15.1257,15.4212,-15.3123,-15.7712,-0,-0.0562134,0.0395508,-3.43,0,0
365681775,46.4,19.5,0,176.309,-1.14223,179.033,178.066,-15.1257,15.4212,-15.3123,-15.7712,-0.608521,-0.0532837,0.0415649,0,0,0
365729551,46.4,19.5,0,176.221,-1.05434,179.121,178.066,-15.1257,15.4212,-15.3123,-15.7712,-0.912781,-0.0130005,0.0386353,0,0,0
365784387,46.4,19.5,0.01,176.396,-1.14223,179.121,177.978,-15.1257,15.4212,-15.3123,-15.7712,2.58621,-0.0836792,0.062439,-0.01,0,0
365827320,46.4,19.5,0.01,176.221,-1.05434,179.121,177.978,-15.1257,15.4212,-15.3123,-15.7712,-0,-0.124329,0.132935,-0.01,0,0
365876418,46.4,19.5,0.01,176.221,-1.14223,179.033,178.066,-15.1257,15.4212,-15.3123,-15.7712,0.30426,-0.0421143,0.10437,0,0,0
365925007,46.4,19.5,-0.09,176.309,-1.14223,179.121,178.066,-15.1257,15.4212,-15.3123,-15.7712,-0,-0.223389,-0.0217896,0.08,0,0
365979122,46.3999,19.5156,-0.09,176.572,-1.14223,179.121,178.066,-15.149,15.3279,-15.3201,-15.7712,-2.28195,0.180542,0.345703,0.08,0,0
366027929,46.3993,19.5564,-0.05,178.77,-1.14223,179.033,178.066,-15.1646,15.1179,-15.3123,-15.8101,-0.15213,-0.0732422,0.14978,0.05,0,0
366085886,46.3949,19.7391,-0.03,178.594,-1.14223,179.121,178.066,-15.0868,15.0246,-15.0635,-15.499,1.36917,-0.114807,-0.0252686,0.02,0,0
366132284,46.3895,19.9743,-0.04,178.682,-1.14223,179.121,178.066,-14.6669,15.0246,-14.7835,-15.2579,4.86816,0.0618896,-0.522217,0.04,0,0
366174342,46.3885,20.0267,-0.12,178.506,-1.05434,179.033,178.066,-14.6435,14.9779,-14.6902,-15.2112,2.28195,0.00970459,-0.0719604,0.12,0,0
366220020,46.3869,20.0967,-0.1,178.594,-1.23012,179.121,178.066,-14.558,14.9235,-14.628,-15.1335,-0.608521,-0.188232,-0.185669,0.09,0,0
366261973,46.3846,20.2114,-0.1,178.594,-1.05434,179.121,177.891,-14.4725,14.7291,-14.5269,-15.0557,0.15213,0.127258,-0.055481,0.1,0,0
366305484,46.3806,20.3805,-0.12,178.506,-1.05434,179.033,177.715,-14.3247,14.5813,-14.3247,-14.8768,1.5213,-0.435059,0.0631714,0.13,0,0
366368079,46.3767,20.8177,-0.12,178.594,2.19761,178.154,177.627,-13.897,14.0525,-13.9514,-14.4569,1.06491,-0.17157,-0.205444,0.12,0,0
366412568,46.371,21.3792,-0.18,178.594,2.19761,178.242,177.627,-13.3371,13.4537,-13.3759,-13.9436,5.17242,-0.324463,-0.351013,0.22,0,0
366466028,46.3627,22.0827,-0.37,178.682,2.19761,178.242,177.539,-12.6527,12.886,-12.5749,-13.1815,12.1704,-0.393677,-0.663208,0.43,0,0
366520581,46.3576,23.0795,-0.56,178.506,2.2855,178.242,177.539,-11.634,11.8984,-11.5329,-12.2405,12.1704,-0.151794,-0.773438,0.63,0,0
366570234,46.3606,24.8089,-0.89,178.506,2.2855,178.154,177.539,-9.65867,10.0786,-9.87642,-10.7707,17.7992,-0.515076,-0.643799,1,0,0
366621571,46.366,26.2974,-1.23,178.594,2.19761,178.242,177.451,-8.28997,8.77991,-8.14999,-9.20763,21.4503,0.0595093,-0.954529,1.36,0,0
366661324,46.3849,27.7353,-1.57,178.594,2.10972,178.154,177.451,-6.67242,7.27122,-6.59465,-8.13444,16.4301,-1.48901,-0.370239,1.67,0,0
366700660,46.4084,29.4083,-1.78,178.594,2.02183,178.154,177.451,-5.00042,5.66145,-4.78268,-6.53244,18.1035,-0.925781,-1.37219,1.89,0,0
366750009,46.4608,31.8058,-2.26,178.506,1.75816,178.154,177.451,-2.51188,3.22733,-2.38745,-4.25386,18.8641,-0.680969,-1.17407,2.37,0,0
366795213,46.5148,33.9351,-2.49,178.594,1.75816,178.154,177.363,-0.349952,1.1354,-0.132204,-2.23969,22.6674,0.326111,-1.03949,2.76,0,0
366846876,46.6408,37.5067,-3.06,178.506,1.75816,178.154,177.363,3.38287,-2.44189,3.47619,1.14318,23.5802,-1.16675,-0.539062,3.2,0,0
366894933,46.7471,40.0445,-3.53,178.418,1.58238,178.154,177.363,6.0114,-4.91488,6.12027,3.56173,27.5356,0.656799,-0.211304,3.71,0,0
366947059,46.8693,42.9597,-4.05,178.154,0.0882344,178.154,177.275,8.7488,-7.6134,9.02876,6.89017,24.3408,0.621277,-1.06604,4.38,0,0
366981518,47.0226,47.0076,-4.53,176.045,-0.878562,178.154,177.275,13.2515,-12.0383,12.7305,10.4675,27.9919,-0.280701,-0.497314,4.67,0,0
367030201,47.1276,50.4922,-5.09,173.408,-2.63638,178.154,177.275,16.4944,-15.1879,16.5411,14.2158,21.2982,-0.532654,-0.478455,5.09,0,0
367083832,47.2381,54.612,-5.45,173.145,-4.13052,178.154,177.187,20.6705,-19.2396,20.7405,18.283,15.9737,-0.0897217,-0.881104,5.54,0,0
