time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw, pivot pos, ext pos
358402774,46.4,19.5,0,178.945,-3.16372,-2.373,-1.84572,-27.9495,25.8576,28.0117,26.2697,-0.15213,-0.0527344,0.0428467,0,0,0,18.8853,-0.0363353
358451211,46.4,19.5,0,178.945,-3.16372,-2.373,-1.84572,-27.9495,25.8576,28.0117,26.2697,-0.15213,-0.0201416,-0.0626221,0,0,0,19.0354,0.0294143
358501813,46.4,19.5,0.04,178.945,-3.25161,-2.373,-1.84572,-27.9495,25.8576,28.0117,26.2697,-12.4747,-0.107849,0.0855103,-0.04,0,0,21.7149,0.192058
358536833,46.4,19.5,0.09,178.945,-3.25161,-2.373,-1.84572,-27.9495,25.8576,28.0117,26.2697,2.58621,-0.227783,0.0483398,-0.08,0,0,23.537,0.432563
358574189,46.4,19.5,0.08,179.033,-3.16372,-2.373,-1.84572,-27.9495,25.8576,28.0117,26.2697,-1.67343,-0.0644531,0.0615234,-0.08,0,0,23.9657,0.962021
358619917,46.4,19.5,0.05,179.033,-3.16372,-2.373,-1.84572,-27.9495,25.8576,28.0117,26.2697,0.30426,0.0159302,-0.389832,-0.05,0,0,24.8232,1.78216
358674831,46.4,19.5,0.03,178.945,-3.25161,-2.373,-1.84572,-27.9495,25.8576,28.0117,26.2697,10.3448,-0.174866,0.4021,0,0,0,25.5305,3.21481
358720156,46.399,19.5253,-0.12,179.033,-2.72427,-2.373,-1.84572,-27.9495,25.8265,27.9728,26.2386,4.86816,0.0492554,-0.28418,0.16,0,0,25.5305,4.13704
358778810,46.3964,19.6205,-0.12,178.945,-1.40591,-2.373,-1.84572,-27.8795,25.6787,27.8562,26.192,0.760651,0.102539,-0.101624,0.12,0,0,25.8521,5.77905
358809149,46.3935,19.7274,-0.12,178.945,-1.40591,-2.373,-1.84572,-27.7629,25.5698,27.724,26.122,-1.5213,-0.191345,-0.079834,0.11,0,0,25.8521,6.48153
358867904,46.3911,19.8362,-0.09,178.945,-1.40591,-0.878856,-1.84572,-27.584,25.5387,27.6618,25.9587,-3.19473,-0.0362549,0.18512,0.07,0,0,25.7235,7.32416
358913014,46.3901,19.8965,-0.06,179.033,-1.31802,-0.175731,-1.75783,-27.5373,25.4454,27.5995,25.9198,-2.43408,-0.189697,0.050354,0.05,0,0,25.4019,8.0353
358953022,46.3893,19.9315,-0.02,178.945,-1.31802,-0.175731,-1.84572,-27.5062,25.4065,27.584,25.8653,-2.12982,-0.0800171,0.022522,0.02,0,0,25.2519,8.73432
358992448,46.3883,19.9917,-0.03,179.033,-1.31802,-0.175731,-1.84572,-27.4518,25.3287,27.514,25.8265,2.58621,0.310181,-0.126892,0.03,0,0,25.2304,9.31049
359055317,46.3864,20.0889,-0.02,178.945,-1.40591,-0.175731,-1.84572,-27.3507,25.2432,27.4129,25.7254,1.67343,0.272644,-0.0098877,0.03,0,0,25.2304,10.4767
359109598,46.3828,20.2794,-0.02,178.945,-1.40591,-0.175731,-1.75783,-27.1563,25.0255,27.2418,25.5465,-2.58621,-0.0723267,-0.62384,0,0,0,25.2304,11.4577
359163910,46.3811,20.7419,-0.04,178.154,2.46128,5e-05,-1.84572,-26.7519,24.5433,26.7674,25.0566,2.12982,-0.376465,-0.648193,0.06,0,0,25.2733,12.2225
359204559,46.3818,21.3015,-0.1,178.066,2.63706,0.703175,-1.84572,-26.1064,23.96,26.1686,24.6444,2.73834,-0.837524,-0.655701,0.1,0,0,25.3162,12.9959
359247786,46.383,21.9796,-0.16,177.978,2.72495,0.791066,-1.75783,-25.4376,23.299,25.4532,23.9756,3.65112,0.236572,-1.13251,0.16,0,0,25.3162,13.5963
359281660,46.399,22.8578,-0.15,177.891,2.72495,1.05474,1.84568,-24.5511,22.3658,24.6055,23.1279,-2.12982,-0.260193,-1.09497,0.15,0,0,25.3162,14.3853
359329333,46.4224,23.8777,-0.11,177.891,2.72495,1.14263,2.10936,-23.7501,21.2226,23.5557,22.0392,-8.82355,0.0393677,-0.0783691,0.03,0,0,25.3162,15.1726
359393943,46.4583,25.873,0.12,177.891,2.72495,1.66997,2.19725,-21.7903,19.1385,21.627,20.025,-10.497,0.0320435,-0.780762,-0.2,0,0,25.3162,16.3215
359443086,46.4947,28.4665,0.37,177.803,2.81284,2.28521,2.19725,-18.9596,16.5333,19.2085,17.4976,-10.9534,-0.504089,-1.20538,-0.37,0,0,25.2519,17.1209
359498830,46.5173,30.3588,0.57,177.803,2.72495,2.28521,2.28514,-17.0232,14.5658,17.3887,15.6467,-9.88846,-1.1098,-1.07831,-0.63,0,0,25.2519,18.1382
359549766,46.5494,33.6383,0.76,177.803,2.72495,2.3731,2.37303,-13.7337,11.0974,14.2392,12.4272,-9.27994,0.264221,-1.41577,-0.81,0,0,25.2519,19.1072
359590870,46.5657,36.0241,0.96,177.803,2.81284,2.54888,2.37303,-11.2685,8.63215,11.8984,10.1486,-8.67142,0.509766,-0.653687,-1.01,0,0,25.2519,19.6349
359635155,46.5829,38.3169,1.15,177.891,2.72495,2.54888,2.46092,-9.30095,5.88697,10.0008,7.58229,-16.5822,-0.355408,-0.272278,-1.23,0,0,25.2519,20.4793
359696229,46.5834,42.9514,1.45,178.506,2.72495,2.63677,2.37303,-4.17609,1.48535,5.2104,3.35176,-17.0386,-0.192444,-0.710632,-1.54,0,0,25.2519,21.6541
359748120,46.5699,47.565,1.82,178.857,2.72495,2.63677,2.46092,0.536593,-3.35954,0.731011,-1.07319,-13.6917,-0.714661,-0.769775,-1.9,0,0,25.2519,22.3722
359794537,46.5592,50.8982,1.99,179.385,2.72495,2.63677,2.54881,3.95057,-6.71908,-2.53521,-4.37051,-9.88846,-1.42529,-0.573853,-2.03,0,0,25.2519,22.9293
359844291,46.5477,56.0006,2.17,179.912,2.81284,2.72466,2.46092,8.60104,-12.1394,-7.75338,-9.49536,-7.91077,-0.714111,-1.17957,-2.19,0,0,25.2519,23.2563
359897266,46.5151,60.1409,2.41,-179.736,2.72495,2.72466,2.46092,13.2748,-15.9034,-11.3618,-14.0136,-11.1055,-0.581726,-0.809509,-2.45,0,0,25.2519,23.4415
359941430,46.4826,64.7031,2.57,-179.385,2.90073,2.72466,2.54881,18.2208,-20.6472,-16.16,-17.7776,-8.36716,-0.726013,-1.18689,-2.57,0,0,25.3162,23.4449
359994198,46.452,69.6601,2.78,-178.945,2.90073,3.252,2.54881,23.3146,-25.6476,-20.9971,-22.6769,-9.27994,0.0488892,-0.351196,-2.85,0,0,25.3376,23.4415
360022204,46.4293,73.0115,2.91,-178.682,2.81284,3.42778,2.54881,26.6041,-29.7304,-23.9756,-25.7331,-12.3225,-0.179443,-0.894653,-2.99,0,0,25.3591,23.4415
