time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pigeon yaw, pigeon raw, pivot pos, ext pos
189697075,46.4,19.5,0,177.012,-0.0875469,-179.209,3.77928,-1.51646,1.3687,-1.18984,1.43869,-0.15213,-0.0395508,0.0369873,0,0,0,21.329,0
189754917,46.4,19.5,0,177.012,0.00034375,-179.209,3.69139,-1.51646,1.3687,-1.18984,1.43869,-0.45639,-0.0628052,0.0507202,0,0,0,21.4577,0.0968942
189799540,46.4,19.5,0,176.924,-0.0875469,-179.209,3.86717,-1.51646,1.3687,-1.18984,1.43869,-8.97568,0.128906,0.02948,-0.03,0,0,23.9871,0.422182
189849923,46.4,19.5,0.11,177.012,-0.0875469,-179.121,3.69139,-1.51646,1.3687,-1.18984,1.43869,3.19473,-0.0274658,-0.121582,-0.05,0,0,24.7803,0.891081
189900108,46.4,19.5,0.05,177.012,0.00034375,-179.121,3.77928,-1.51646,1.3687,-1.18984,1.43869,2.28195,0.020874,0.0944824,-0.04,0,0,24.7803,1.39631
189954066,46.4,19.5,0.05,177.012,-0.0875469,-179.209,3.69139,-1.51646,1.3687,-1.18984,1.43869,2.58621,0.400818,-0.201782,0.02,0,0,24.9732,2.56078
190014027,46.3999,19.5058,-0.06,177.012,0.00034375,-179.209,3.77928,-1.50868,1.35315,-1.18984,1.43869,-0.30426,-0.00769043,0.0411987,0.06,0,0,25.3376,4.35505
190057112,46.3999,19.5097,-0.04,177.363,-0.0875469,-179.209,3.69139,-1.50868,1.33759,-1.18984,1.43869,-1.21704,-0.202332,0.0684814,0.04,0,0,25.3376,5.15096
190105401,46.3999,19.5447,-0.03,179.033,-0.0875469,-179.209,2.28514,-1.50868,1.21317,-1.17428,1.43869,0.30426,-0.0776367,0.143738,0.03,0,0,25.3591,6.37944
190163960,46.4007,19.7722,-0.03,179.297,0.00034375,-179.209,2.10936,-1.24427,0.855438,-0.972089,1.35315,-3.34686,0.105286,0.0827637,0.01,0,0,25.3591,7.41414
190219469,46.4045,19.9821,-1.86361e-17,179.297,0.00034375,-179.209,2.19725,-1.05763,0.855438,-0.66102,1.01097,3.49899,0.361816,-0.000366211,0.02,0,0,25.3591,8.08374
