time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos
140517572,46.4,19.5,0,1.40623,0.439797,-175.957,1.93357,8.70992,8.54661,-8.6166,8.63215,0.15213,-0.041748,0.0325928,0,22.3365,-0.0224933
140558547,46.4,19.5,0,1.31834,0.527687,-175.869,2.02147,8.70992,8.54661,-8.6166,8.63215,0,-0.0498047,0.0316772,0,22.3365,-0.0224933
140601636,46.4,19.5,0,1.49412,0.439797,-175.869,2.02147,8.70992,8.54661,-8.6166,8.63215,0.15213,-0.0344238,0.0472412,0,23.2369,0.0294143
140618770,46.4,19.5,0,1.40623,0.351906,-175.869,1.93357,8.70992,8.54661,-8.6166,8.63215,-0.45639,0.0153809,-0.0307617,0,23.2369,0.103815
140664417,46.4,19.5,0.03,1.40623,0.439797,-175.869,1.93357,8.70992,8.54661,-8.6166,8.63215,0.30426,-0.0536499,0.0706787,-0.03,24.7588,0.302794
140688337,46.4,19.5,0.03,1.31834,0.439797,-175.869,2.02147,8.70992,8.54661,-8.6166,8.63215,-0.45639,0.150146,-0.0966797,-0.02,24.7588,0.638464
140732409,46.4,19.5,0.02,1.31834,0.439797,-175.781,2.02147,8.70992,8.54661,-8.6166,8.63215,-0.15213,-0.203247,-0.105103,-0.02,24.7588,1.34787
140776414,46.4,19.5,0.01,1.31834,0.439797,-175.869,1.93357,8.70992,8.54661,-8.6166,8.63215,2.89047,-0.266418,0.161133,0,24.7588,2.09188
140812747,46.4001,19.5097,0,1.31834,0.439797,-175.869,2.02147,8.69436,8.52327,-8.6166,8.63215,1.97769,-0.153259,0.00164795,0.03,24.9089,2.94489
140855330,46.4004,19.5253,-0.02,1.31834,0.527687,-175.781,2.02147,8.6477,8.50772,-8.6166,8.63215,2.12982,0.0769043,0.138245,0.03,25.3376,4.45021
140892739,46.4009,19.5797,-0.05,1.49412,0.527687,-175.781,1.93357,8.63215,8.37552,-8.67103,8.50772,1.21704,-0.0098877,0.000732422,0.05,25.3376,5.06099
140934632,46.4027,19.6361,-0.05,1.31834,0.439797,-175.869,2.02147,8.62437,8.2822,-8.63215,8.42218,-1.82556,-0.20343,-0.0194092,0.05,25.3376,6.10087
140963349,46.4057,19.6924,-0.04,1.31834,0.351906,-176.836,1.93357,8.60882,8.2822,-8.42218,8.42218,0.912781,0.249756,0.351746,0.03,25.3376,6.7601
141007065,46.4079,19.7545,-0.06,1.31834,0.439797,-177.1,1.93357,8.54661,8.23554,-8.30553,8.39885,0.15213,-0.518188,0.206726,0.06,25.3376,7.33454
141041304,46.4086,19.7778,-0.02,1.31834,0.527687,-177.187,1.93357,8.52327,8.21221,-8.2822,8.37552,-3.95538,-0.299561,0.0774536,0.02,25.3376,8.02838
141087390,46.4106,19.8459,-0.02,1.40623,0.439797,-177.187,2.02147,8.45328,8.15777,-8.22776,8.2822,0.608521,0.153809,-0.183838,0.02,25.3376,8.56129
141120094,46.4122,19.8964,-0.02,1.49412,0.439797,-177.1,2.02147,8.4144,8.10333,-8.15777,8.24331,-0.760651,-0.129822,0.0216064,0.02,25.3376,9.30357
141174872,46.4173,20.0576,-0.02,1.93358,0.439797,-177.1,1.93357,8.21998,7.9478,-8.01779,8.08778,1.06491,0.0668335,-0.398804,0.03,25.3376,10.0078
141212861,46.4257,20.2869,-0.05,2.28514,1.3187,-177.1,1.93357,7.95557,7.69117,-7.83115,7.87781,0.912781,0.123596,-0.278687,0.05,25.3376,10.558
141250263,46.4331,20.4792,-0.06,2.28514,1.40659,-177.1,1.93357,7.76116,7.5123,-7.65228,7.66006,3.0426,0.218628,-0.405945,0.06,25.3376,11.3522
141277555,46.4448,20.7764,-0.08,2.19725,1.40659,-177.1,1.93357,7.48897,7.22456,-7.27122,7.41121,2.73834,-0.40686,-0.842468,0.08,25.3376,11.7813
141314566,46.4585,21.1378,-0.1,2.19725,1.3187,-177.1,1.93357,7.11569,6.85128,-6.92905,7.05348,0.15213,-0.177429,-0.622742,0.1,25.3376,12.6118
141362084,46.4881,21.9109,-0.1,2.28514,1.40659,-177.1,1.93357,6.28358,6.05806,-6.27581,6.23692,2.89047,-0.792114,-0.941895,0.12,25.3376,13.4285
141386632,46.512,22.5229,-0.12,2.19725,1.40659,-177.1,2.02147,5.66145,5.38926,-5.69255,5.66145,3.19473,0.854187,-0.938782,0.12,25.3376,13.8126
141433648,46.5525,23.5272,-0.17,2.19725,1.40659,-177.1,2.10936,4.65825,4.35496,-4.71269,4.65825,-1.21704,0.728394,-0.734253,0.16,25.3376,14.6345
141478379,46.6126,25.0404,-0.17,2.10936,1.3187,-177.1,2.10936,3.14957,2.79962,-3.21178,3.16512,1.06491,0.954529,-1.66754,0.17,25.2733,15.4252
141526831,46.6756,26.571,-0.21,2.10936,1.40659,-177.1,2.02147,1.62533,1.36092,-1.4698,1.74198,1.67343,-0.31897,-0.583008,0.22,25.2733,16.3959
141576714,46.7558,28.5719,-0.23,2.10936,1.40659,-177.187,2.10936,-0.52104,-0.793224,0.178864,-0.318845,0.15213,-0.00787354,-0.256165,0.24,25.2733,17.1901
141612085,46.8447,30.6813,-0.29,2.10936,1.40659,-177.1,2.10936,-2.54298,-3.18067,2.45744,-2.07638,3.65112,-0.267517,-0.975769,0.29,25.2733,17.7559
141656798,46.9328,32.6234,-0.4,2.28514,1.40659,-177.1,2.02147,-4.65047,-4.82156,4.52605,-4.03611,7.45438,-0.500061,-0.443481,0.4,25.2733,18.3199
141703050,47.063,35.5347,-0.48,2.19725,1.40659,-177.363,2.10936,-7.59785,-7.80004,7.34121,-6.95238,1.06491,-0.581177,-1.51208,0.48,25.2733,19.1124
141729824,47.1371,37.2595,-0.5,2.19725,1.3187,-177.891,2.28514,-9.58868,-9.72867,8.5155,-8.76435,1.97769,-0.888062,-0.127075,0.51,25.2733,19.7232
141757026,47.2216,39.3867,-0.52,1.49412,1.3187,-177.978,2.10936,-11.5251,-11.7506,11.1207,-10.7163,1.5213,1.03656,-0.707153,0.52,25.2733,20.1471
141789532,47.3049,41.4419,-0.58,1.40623,1.40659,-177.978,2.19725,-13.7181,-13.8348,13.1426,-12.6449,1.5213,0.0628052,-0.296265,0.58,25.2733,20.7232
141829493,47.4182,44.1847,-0.61,1.49412,1.49448,-177.978,2.10936,-16.7044,-16.8599,15.2657,-15.4912,4.71603,-0.194092,-0.883301,0.61,25.2733,21.5122
141885505,47.5964,48.3238,-0.73,1.31834,1.3187,-177.978,2.28514,-20.826,-20.9349,19.8228,-19.3096,4.71603,-1.45569,-1.17664,0.78,25.2733,22.4777
141942173,47.7854,52.6356,-0.82,1.14256,1.3187,-177.978,2.19725,-24.9866,-25.0954,23.9056,-24.17,6.5416,0.515442,-0.769043,0.86,25.2733,23.1318
