time,x,y,heading, flSteer, frSteer, blSteer, brSteer, flDrive, frDrive, blDrive, brDrive, rawGyro, rawAccelX, rawAccelY, yaw, pivot pos, ext pos, cube x, cube y, cube deg
176158918,46.4,19.5,0,-4.21877,-3.95473,177.363,179.121,6.62576,6.83573,-6.45467,-6.89017,-0.15213,-0.0258179,0.0397339,0,24.9946,0,47.0821,115.987,20.595,
176202541,46.4,19.5,0,-4.21877,-3.95473,177.363,179.121,6.62576,6.83573,-6.45467,-6.89017,-0.30426,-0.0344238,0.0585938,0,24.9946,0,46.129,129.087,18.201,
176237116,46.4,19.5,0,-4.30666,-3.95473,177.275,179.121,6.62576,6.83573,-6.45467,-6.89017,0.15213,-0.0285645,0.0430298,0,24.9946,0.109006,45.7848,110.59,20.9386,
176275085,46.4,19.5,0,-4.13088,-3.95473,177.363,179.121,6.62576,6.83573,-6.45467,-6.89017,-0.608521,0.0595093,0.337463,0,24.9946,0.380656,45.6555,110.242,20.9404,
176309129,46.4,19.5,0,-4.21877,-4.04263,177.363,179.121,6.62576,6.83573,-6.45467,-6.89017,-0,-0.161316,-0.0935669,0,24.9946,0.534648,46.324,109.618,21.3683,
176344754,46.4,19.5,0,-4.21877,-3.95473,177.363,179.121,6.62576,6.83573,-6.45467,-6.89017,0.15213,0.0250854,-0.024353,0,24.9946,1.05545,46.5214,109.064,21.564,
176378615,46.4,19.5,0,-4.21877,-3.95473,177.363,179.121,6.62576,6.83573,-6.45467,-6.89017,0.30426,-0.108948,0.0250854,0,24.9946,1.66796,46.7308,109.926,21.5026,
176417736,46.4,19.5,0,-4.21877,-3.95473,177.363,179.121,6.62576,6.83573,-6.45467,-6.89017,0.15213,-0.307617,-0.027832,0,24.9946,2.42409,46.4431,109.375,21.4692,
176472692,46.3997,19.5039,0,-4.21877,-3.95473,177.363,179.121,6.62576,6.82018,-6.45467,-6.89017,0.30426,-0.154907,-0.00787354,0,24.9946,3.91037,46.7851,108.677,21.761,
176509692,46.3968,19.5388,0,-3.69142,-4.04263,177.363,179.121,6.61798,6.64909,-6.46245,-6.92127,-0,-0.0715942,0.290771,0,24.9946,5.06618,46.424,108.628,21.5994,
